stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,20.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0
  7-9,0,0,0,0,0,3.56,0,0,0,0,0,5.12,0,0,0,0,0,0
 10-12,0,0,0,5.07,0,0,0,0,0,0,0,29.86,0,0,21.11,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,0,12.67,0,0.83,0,1.13,0,0
 24-34,0,0,0,0,0,2.05,0,0.93,0,1.8,0.93,10.67,1.21,1.21,0,3.87,0,0
 36-46,0,0,0,0,2.58,5.29,0,0,0,2.21,0,30.37,1.29,0,0,2.24,0.68,0
 48-58,0,0,0,0,0,5.72,0.74,1.42,0,2.03,0.42,30.59,1.07,0,0,2.26,0,0
 60-70,0,0,0,0,0,4.02,0,1.14,0,1.21,0,10.61,3.32,0.78,0,3.22,0,0
 72-82,0,0,0,0,2.96,7.61,0,1.19,0,0.97,0,18.91,3.07,0,0,0,0,1.24
 84-94,0,0,0,0,0,6.19,0,0,0.78,4.56,0,14.21,6.35,0,0,0,0.84,0
 96-106,0,0,0.95,0,0,1.78,0,0,0,0.96,0,15.69,8.11,1.11,0,0,0,0
108-118,0,0,0,0,0,5.86,0,0,0,0,0,10.8,1.8,0,0,0,0,0
120,2.82,0,0,0,0,22.07,0,4.35,0,4.94,0,0,8.23,0,0,0,0,0
