stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.01,0,0,8.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,5,11.11,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,44.09,0,0,3.22,0,5.95,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.43,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,1.89,0,0,0,3.34,0,0,0,2.85,0,4.09,0,1.33,26.87,1.42,0,0,0,0
 24-34,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,6.99,0,0,1.98,27.69,5.94,0.63,0,1.63,0,0,0,0,1.91,1.34,0,4.04,0,0
 36-46,0,0,6.37,0,0,0,0,0.63,0,0,0.57,0,0,0,0,0,0,0,0,0,0,66.47,0.69,0,0,0,0.81,0,0,0,0,13.1,0,0,0,0
 48-58,0,0,2.02,0,4.43,0.8,0,1.06,0,0,0,0,0,0,0,0,0.98,1.84,0,0,0,22.5,0,0,0,0.59,0,0,0,0,0,1.2,0,0,0,0
 60-70,0,0,0,1.42,18.77,0,0,0,0,0,0,0,0,0,0,6.47,0,1.76,0,0,0,23.69,0.84,5.4,0,0,0,0,0,0,0,1.28,0,8.63,0,0
 72-82,0,0,2.13,0,8.79,0,0,0,14.32,0,0,0,0,0,2.94,4.27,0,3.88,0,0.87,0,11.4,1.91,0,0,0.58,0,0,0,0,0,0,0,0.94,0,0
 84-94,0,0,0.77,0,2.86,0,0,0,18.08,0,0,0,0,0,1.2,0,0,2.17,2.96,0,0.66,34.04,1.37,0,0,5.85,0,0,0,0,0,0,1.46,1.23,0,9.62
 96-106,0,0,1.62,0,15.84,0,0,1.84,70.49,0,0,1.43,0,0,23.83,13.92,0,11.87,0.88,3.47,0,20.75,9.06,0.73,0,8.43,0,0,0,0,0,5.09,1.57,3.2,0,0
108-118,0,0,9.75,0,16.66,1.73,0,0,487.02,0,0,0.55,2.34,0,51.04,0.43,0,7.71,3.58,0,4.37,27.63,12.91,0.67,0,115.46,0,0,0.43,0,0,0,10.99,0,0,0
120,0,0,2.82,1.79,15.9,1.23,4.11,0,237.39,0,0,0,0,9.08,26.82,0,0,5.32,5.01,0,1.54,7.06,13.07,0,0,32.28,0,0,0,0,0,0,4.44,0,9.56,0
