stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,16.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0
 14-21,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0.85,6.82,0,0,0,0,0,0,0,2.75,0,0,0.96,0
 24-34,0,0,7.75,0,1.34,0,1.83,0,0.6,0,0,0,0.6,0,14.28,0,3.65,81.96,0,0,0,0,0,0,0,13.45,0,0,1.08,0
 36-46,0,0,6.12,0,9.41,0,5.43,0,0,0,0,0,0,0,17.95,1.66,3.96,137.09,0,0,0.61,0,0,0,2.68,18.15,0,0,0,0
 48-58,0,0,4.32,0,15.75,0,0.37,0.6,0,0.38,0,0,0,0,14.74,0,1.96,214.8,0.41,0.48,0,0,0,3.58,2.55,18.79,0,0,0,0
 60-70,0,0,8.25,0,217.13,0,9,0.72,18.74,0,1.36,0,0,0,54.98,0,2.2,590.85,0,0,1.03,0,0,2.56,1.58,21.01,3.97,0.59,0,0
 72-82,0,0.68,5.41,0,188.59,0,0,1.56,10.81,0,0,0,0,0,69.85,0.74,1.54,428.02,0,0,4.27,0,2.36,0,0,29.51,2.73,0.99,0,0.49
 84-94,0,0,7.81,0,122.77,0,2.26,0.86,6.21,0,0,0,0,0,53.19,2.4,0,308.89,0.94,0,2.38,0,0,3.64,0,31.76,3.42,0.88,0,0
 96-106,0,0,6.24,3.16,168.41,0.67,0,0,6.39,0,0.92,0,2.75,2.21,70.61,0,2.6,285.75,0,0,3,0,0,2.18,0,7.92,0,1.18,0,0.88
108-118,0,0,2.57,0,145.68,0,1.3,0,7.97,0,0.83,1.62,0,0.43,60.51,1.39,1.41,212.96,0,0,2.24,0,0,1.92,0,9.62,2.54,0,0,0
120,0,0,8.42,0,141.7,1.18,2.71,0,4.59,0,0,0,0,0,63.21,0,1.59,340.96,1.33,0,0,0,0,0,0,0,2.06,0,0,0
