stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,30.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.29,0,0,0,0,20.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.31,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.4,100.35,0,0,34.56,0,4.24,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,23.57,0.83,0,4.99,0,1.17,0,1.88,0,1.15,0,0,0,0,15.09,11.98,0,0,11.7,26.34,152.4,0,0,0,0,0,0,6.7,0.82,0,2.03,7.97,0,0,0.99,0,4.44
 24-34,0,0,0,94.66,0,0,6.68,0,14.46,1.36,2.06,0,2.05,0,0,0,3.08,51.23,59.3,0,0,26.22,74.95,419.55,1.62,0,0,0,20.84,0,0,0,0,2.29,10.09,0,0,22.82,0,27.9
 36-46,0,0,0,148.39,0,0,12.18,3.2,35.53,13.21,7.65,0,4.4,0,0,5.92,0,109.41,81.06,0,0,35.96,51.2,236.8,5.48,0,0,0,50.18,0.81,0,2.78,0,0,3.85,0,0,11.42,0,59.37
 48-58,0,0,0.5,181.44,0,0,23.66,0,34.05,18.58,89.95,0,1.42,0,0,10.39,0,129.28,144.53,0.52,1.23,36.91,70.1,209.12,7.95,0.47,0,0,40.46,0,0,0,0,0,7.26,0,0,28.07,0,109.56
 60-70,0,0,0,158.5,0,0,17.31,1,50.19,28.72,164.8,0,0,0,0,25.69,0,48.61,242.69,2.74,1.56,13.06,115.43,149.45,13.38,2.67,0.81,3.36,44.25,0,0,0,0.62,0,6.76,0,0.82,3.36,0,94.91
 72-82,0,0,0,191.15,0.92,0,26.81,0,49.92,50.26,214.42,0,1.5,7.01,1.21,25.95,1.19,51.42,286.17,2.62,7.53,13.11,118.26,58.26,10.08,0.8,0,7.02,26.8,0,0,0,0,0,8.93,0.53,2.94,23.49,3.08,153.05
 84-94,0.62,0,0,289.7,3.08,0,35.38,0,66.65,33.54,141.64,0.96,0,3.56,2.98,36.4,0,84.68,296.36,1.14,6.99,4.8,90.98,158.77,6.6,0.92,0,5.07,73.79,0,0,0,0,0,3.73,0.71,2.41,20.72,0.62,83.09
 96-106,0,0,0,313.61,2.39,0.92,28.69,1.64,74.55,15.14,157.59,1.82,1.79,2.57,1.7,17.58,2.65,52.25,172.36,0.84,2.63,10.3,94.2,53.42,18.11,1.58,0,7.1,47.65,0,0,0,0,0,0,0,5.29,31.17,1.53,87.52
108-118,1.01,0,0,378.09,4.34,2.97,23.55,0.44,108.75,36.64,157.67,3.38,0.55,1.74,0,32.37,6.77,126.32,96.06,0,1.93,8.73,83.29,56.05,0.95,0,0,16.9,35.62,0,0,0,0,0,0.42,5.15,0,20.74,1.07,134.15
120,2.37,0,0,400.89,0,0,39.51,2.44,90.16,46.06,242.43,0,0,0,0,40.01,0,57.34,201.23,2.21,7.63,23.9,150.64,109.87,4.11,0,0,64.65,22.4,0,0,0,0,0,0,0,0,11.82,12.33,61.52
