stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.65,5.73,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,16.57,0,0,0,4.73,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,10.08,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0.79,1.03,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,6.15,13.33,0,1.38,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.94,0,0,0,0,6.73,0,0,0,15.28,15.66,0,1.33,0,0,0,0,0,0,1.59,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,9.14,15.42,0,7.04,0,1.8,0,0,0,2.33,1.33,0,0,0
 72-82,0,0,0.71,0,0,2.2,0,0,0.59,1.74,0,0,0,0,95.75,14.78,2.07,8.74,0,0,0,0,0,7.8,0,0,0,0
 84-94,0,0,0,0,0,4.08,0,0,2,0.94,0,0,0,0,499.35,16.84,0.87,11.13,1.16,0,0,0,0,1.35,0,0,0,0
 96-106,0,0,0.66,7.66,0,26.42,0,0,2.85,3.63,0,1.08,1.69,0,690.67,10.94,5.1,74.97,0,2.72,0,0,5.22,2.7,1.23,1.27,8.19,4.64
108-118,0,0,1.65,9.56,1.73,12.83,0.46,0.56,4.94,2.34,0,0,0.91,1.75,1809.69,5.66,0,56.71,0,0,0,0,0,1.4,3.99,0,0.84,0
120,0,0,1.28,15.46,0,23.35,0,0,27.05,0,0,0,0,0,1125.8,0,0,76.42,0,0,2.2,0,0,12.66,0,0,0,0
