stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,43.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.9,4.46,0,0,0,83.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.76,16.58,0,0,72.39,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,25.07,17.57,0,0,0,199.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099.79,8.87,0,0,152.58,0,0,0,6.12,0,0,0,0,0,0,0,0
 14-21,0,0,10.19,0,0,31.54,0,0,60.69,0,1.52,0,0,0,0,0,0,5.85,0,0,3.59,767.62,2.91,2.44,13.12,6.95,0,0,1.12,13.43,126.85,1.03,5.45,386.17,0,0,0,0
 24-34,0,0,12.05,0,0,86.99,0,0.79,97.36,0,17.01,0,0,0,0,0,8.7,32.89,0,0,17.54,1419.74,0.79,2.52,58.71,0,0,0.68,0,0,468.4,0,5.1,531.53,0,0.67,0,0
 36-46,0,0,10.63,0,0,140.36,0.8,0,171.46,0,19.2,0,0.66,0.88,0,0,0,17.91,0,1.13,4.33,986.89,0,4.41,58.05,0,0,4.46,0,0,514.17,0.97,0,484.21,0,0.78,0,0
 48-58,0,0,1.92,0.38,0,204.37,0,1.53,318.65,0,9.96,0.42,0,0,0,1.77,0,11.14,0,4.64,7.41,439.54,0.45,1.72,92.7,0,0.56,0,0,0,368.61,0,0,358.49,0,0,0,0
 60-70,0,0,1,0,0,482.24,8.13,0,400.17,0,5.17,0,0,0,0,0,0,24.74,0,0.95,0.9,275.35,0,2.64,90.23,0,0,0,0,0,341.29,0,0,138.37,0,0,0,3.58
 72-82,0,0.75,7.29,0,0,600.86,0,1.17,373.07,0.51,1.5,0,0,4.09,1.52,0,0.49,36.09,8.82,13.58,4.47,197.12,0,0,116.45,0,2.56,0,0,0,487.01,0,0,40.84,0.99,6.93,0.91,0
 84-94,0,3,0,3.82,0,778.52,0,0,349.24,2.44,12.68,0,1.56,0,0.9,2.4,0,51.85,0,4.25,0.56,203.62,1.11,0,166.69,0,0,3.22,0,0,1028.25,0,0,52.84,0,0,0,10.97
 96-106,0,1.03,4.82,2.61,1.14,596.6,0.82,5,237.14,3.13,8.51,3.24,1.84,0,0,20.07,0,40.04,1.92,10.39,4.54,130.69,0,0,189.48,0,0.87,4.57,0,0,919.89,0,0,25.38,0,3.41,0.81,0
108-118,0,1.32,2.46,0.56,0.5,563.56,0.46,0,245,2.86,4.21,0,0.47,0,0,2.95,0,48.8,0,24.72,0.43,175.62,1.95,1.6,208.41,0,0,0.5,0,0,955.98,0,0,27.96,0.99,0,1.01,4.4
120,0,2.55,11.42,3.27,0,433.32,2.21,0,384.1,0,1.85,16.58,0,0,0,25.74,0,41.9,0,10.95,0,159.01,0,0,229.4,0,7.36,0,0,0,655.1,0,0,7.3,0,0,7.45,0
