stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,4.74,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.18,3.91,0,0,5.93,0,0,5.34,0,0,0
 14-21,1.44,6.06,0,0,0,0,0,0,0.82,2.21,0,0,0,0,0,0,0,15.56,2.37,0,0,2.39,0,0.91,0,3.98,0,0
 24-34,0,7.47,0,0.72,0,0.66,0.68,0,0,0,0,0,0.7,0,0,2.43,2.57,144.17,0,2.89,0,0,1.17,0,0,10.41,0,0
 36-46,0,5.06,0,12.78,0,0,0,1.54,0,0,0,0,0,0,3.44,0,0.82,336.54,0,0.87,0,0,0,0,0,30.44,0.61,0
 48-58,0,10.57,2,89.88,0.81,3.76,0.75,4.38,0,0,0,0,0,6.33,6.07,0,0.4,513.13,0,0,0,0,2.51,0,0,38.8,1.46,0.91
 60-70,0,0.68,0,166.48,0,0,0,6.39,0,0,0,8.1,0,0,14.62,0,2.96,606.57,0,0,0,0,0,0,0.83,75.48,2.08,0
 72-82,0,4.03,0,92.15,0,0,0,6.34,0,0,0.54,0,0,0,3.7,0,0.81,338.91,0,1.07,0,0,0.55,0,0.49,16.25,0,0
 84-94,0,5.03,1.3,127.87,2.14,0,0,8.12,0.68,0,0,8.94,0,0,3.29,2.04,6.43,243.63,0,0,0,0,1.14,0,0,12.84,0.97,0
 96-106,0,0,0.63,74.28,0,0,0,0,0,0,0,0,2.94,0,13.1,0,1.44,192.03,4.22,0,0,0,0,0,0,24.77,0,0
108-118,0,6.22,0,45.31,0,6.02,0,0.43,0,0,0,0,0,0,1.87,0,0,249.37,0,1.47,0.66,0,0,0,0,8.55,0,0
120,0,1.78,0,75.47,0,1.14,0,16.81,0,0,0,0,3.84,0,3.19,0,1.02,266.18,0,0,0,0,0,0,0,23.04,0,0
