stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,169.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.08,162.55,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5,0,0,0,0,5.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.09,3.08,0,0,0,0,11.13,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,0,0,0,0,0,5.15,0,0,0,7.63,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.66,0,0,1.94,0,0,0,0,0,0,0,0,9.06,0,0,3.17,10.5,0,86.31,0,6.26,0,18.55,0,0,8.94,5.82,0,0,0.87,0,0
 36-46,0,0,0.95,0.7,0,1.8,0,4.77,0,0.92,0.72,0,0,0,3.67,0,0,1.81,4.32,0,195.68,0,19.2,0,0.66,0,0,0,26.17,0,0,0,0,0
 48-58,0,0,1.43,0,0,18.33,0,0,0,0,0,0,0,0,12.38,0,0,1.03,0,0,331.87,0,8.01,0,16.43,0,0,0,25.93,0,0,0,0,0
 60-70,0,0,0.89,0.7,0,154.5,0,3.17,0.84,0.73,1.28,0,2.9,0,0.59,0,0,8.34,2.04,0,543.2,0,14.59,0,2.08,0,0,0,72.29,0,0,0,0,0
 72-82,0,0,0,11.55,4.4,261.75,0,0,3.24,8.21,2.2,0,0,0,1.55,0,0.72,7.59,0,1.23,778.52,0,17.36,0,0.63,0,0,0,54.73,9.48,0.63,0,1.42,0
 84-94,0,0,0,5.31,0,266.14,0,0,1.65,11.59,1.19,0,0,0,5.4,0.62,0,6.05,2.22,0,581.6,0,16.66,2.13,8.94,0,0,0,26.3,7.46,1.07,0,2.23,2.42
 96-106,0,0,0,5.66,3.04,242.91,0,0,0,10.99,4.68,0,0,0,2.33,0,0.75,10.37,0,0,562.33,0,12.77,0,2.34,0,0,0,25.21,0,1.21,3.22,0,0
108-118,0,0,0,6.95,2.42,283.09,1.3,0,0,14.15,6.37,0,0,7.42,2.17,0,0.63,5.35,0.91,0,606.93,0,11.61,0,14.37,0,0,0,14.93,2.03,0,1.37,0,0
120,0,0,1.73,19.92,0,422.2,0,0,0,14.21,2.59,0,0,3.53,4.68,0,0,11.65,0,0,1163.84,0,36.51,3.98,6.05,0,0,0,38.82,0,0,0,0,0
