stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,103.9,2043.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0
  5-6,16.27,326.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,8.01,0,0,0,0,0,0,0,0
  7-9,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.28,0,0,0,25.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,0,0,0,6.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,1.43,0,0,0,0,1.79,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.68,0,0,16.48,0,0,0,0,0,0,0,0,0,0,0,0,89.2,1.4,0,0,28.41,0,1.22,0,0,0,0,0,0,11.31,0,0,0,10.24
 36-46,0,0,0,0,0,0,32.1,0,0,0,0,0,0,0,0,0,0,0,0,316.07,0,0,0,78.37,10.66,0,0,0,2.94,0,0,0,39.85,0,0,0,24.72
 48-58,0,0,0,1.8,0,0,138.49,0,0,0,11.54,0,3.95,0,0,0,3.92,0,0,326.35,2.71,4.04,0.99,160.35,0.42,1.3,0,0,1.99,0,0.43,0,33.32,0,0,0,131.92
 60-70,0,0,0,0,0,0,424.34,0,0,0,5.76,0,0,0,5.16,0,0,0,0,167.89,3.56,0,0,485.86,0,0,0,0,2.83,0,6.36,0,50.95,2.25,0,0,101.42
 72-82,0,0,1.49,0.8,1.41,0,618.91,0,0,0,20.99,0,0,0,0,2.86,0,0,0,74.39,19.86,0,0.92,918.62,0,0,0,0,0,0,1.03,0,71.63,0,0,0,86.72
 84-94,0,0,0,4.55,0,0,812.21,0,0.68,2.34,12.42,2.13,0,0,0.64,0,0.61,0,0,228.77,19.74,0,0,689.65,0,0,0,0,0.86,2.8,1.97,1.43,60.55,4.28,0,2.91,52.97
 96-106,0,0,0,6.88,0,0,510.36,0,0.61,0,21.22,0,0,1.61,4.6,0,2.7,0,0,83.65,9.09,0,6.21,609.45,0.79,1.12,0.65,0,12.23,0,0,0,23.43,0.68,0,0,34.24
108-118,0,0,1.23,15.9,3.31,14.91,727.07,1.3,0,0,32.59,0.87,0,0,1.2,0,19.23,0,0,164.69,30.02,0,2.08,769.13,0.69,1.36,1.09,0,0,0,0,0,21.46,0,1.98,0,42.19
120,1.19,0,0,28.15,1.31,0,724.46,0,0,0,86.54,0,0,0,5.68,2.21,15.69,1.54,1.47,103.3,21.63,0,2.69,2237.49,3.25,0,9.92,0,0,0,0,0,123.64,1.51,12.19,0,16.64
