stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,21.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.38,0,0,0,0,0,0
  5-6,12.63,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,341.8,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,16.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.77,0,0.81,0,0,0,0,0,0,0,0,6.26,0,0,0,0,128.73,2.14,0.89,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.98,0.65,0,0,12.51,0,0,0,0.99,232.46,0,1.75,0,0,0
 36-46,0,0,0,0,0.72,0,0,0,0.88,0,0,0,8.98,0,10.26,0,0,149.97,0,3.71,0,0,0
 48-58,0,0,0,0,7.98,0,0,0.64,0,0,0,0,2.39,0,0,0,0,51.28,0,0,0,0,0
 60-70,0,0,0,0,1.46,0,0,0,0,0,0,0,2.44,0,0,0,0,27.3,0,0,0,0,0
 72-82,0,0,0,0,4.72,0,0,1.54,0,0,0,0.73,14.23,0,1.08,0,0,9.98,0,5.79,0,0,0
 84-94,0,0,0,0,9.81,1.71,0,0,0,4.82,0.72,0,20.69,0,0,0,0,36.18,0,0,0,0,0
 96-106,0,0,0,4.48,22.32,5.26,0,5.77,0,1.53,0,6.38,2.73,0.57,0,0.96,3.86,64.18,0,0,0,2.4,0
108-118,0,0,0.91,0,6.33,3.74,0.78,5.13,0,4.51,0,3.08,13.93,0,0,0,0,78.38,0,0,1.06,0.63,1.16
120,0,0,0,0,12.59,0,0,2.35,0,0,0,0,0,0,0,0,4.24,28.83,0,0,0,0,0
