stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,27.34,67.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,54.43,0,0,0,0,0,0,0,0,0,0,6.17,8.43,0,0,0,0
  7-9,12.62,0,3.43,0,5.52,20.79,0,0,0,61.18,5.34,0,45.11,0,0,0,0,0
 10-12,0,0,8.75,0,0,9,0,0,0,127.03,0,0,22.17,0,6.1,0,0,0
 14-21,0,0,0,2.03,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0
 24-34,0,0,0,0,0.79,0,0,0,0,1.48,0,0,0,0,0,0.83,0,0
 36-46,0,0,0,0,1.6,0,0,0,0.92,22.7,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.73,0,0,0,1.31,1.72,0,0,0,1.53,0,0,0.45,0
 60-70,0,0,0,0,5.68,0,0,0,0.77,0.76,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.67,0,0,0,2.47,5.61,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.74,0,0,1.54,0,0,3.19,0,0,0,0,0,0,0,1.8
 96-106,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0
