stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,muscle,neural,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5.92,20.79,0,0,0
 24-34,0,0,0,5.63,0,0,0.68,0,0,3.69,20.5,0,4.04,44.18,2.52,0,0
 36-46,0,0,0.58,19.64,0,0,0,0,0,1.74,15.11,0,4.09,1.34,1.83,0,0
 48-58,0,0,2.56,7.14,0,1.03,0,0,0,4.8,15.22,0,2.54,0,1.14,0,0
 60-70,0,0,7.19,6.33,0,0.6,0,0,3.01,0,7.76,0,0.65,0,0,0,7.68
 72-82,1.71,4.26,2.41,2.64,0,3.28,0,4.74,0.86,1.2,10.37,0,2.24,0,1.81,0,0
 84-94,0.59,0,2.92,0,0,0,0,0,0,0,4.55,0,0,0,0.63,3.16,0
 96-106,0,0,0,2.01,1.8,3.63,0,1.26,2.94,0,11.23,3.02,0.72,0,0,0,0
108-118,0,0,0,0.94,0,0,0,0,1.25,0.48,7.28,0,3.23,0,0,0,0
120,0,0,0,5.87,0,0,0,0,0,0,25.33,0,0,0,0,0,0
