stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,51.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.75,0,0,0,0,0,0,20.17,0,0,0,0,0,0
 14-21,0.89,0,3.28,76.72,2.68,130.15,0,0,0,0,0,0,61.13,0,0,0,0,0,0.87,0,0,2.37,10.36,0,0,0.83,3.79,0,0,2.27,7.63,0,0,0.82,0,0
 24-34,0,0,0,25.16,0,3.54,0,0,0,0,0,0,18.84,0,0,0.72,0,4.84,1.96,0,0,0.87,12.98,0,0,0,0,0,0,1.95,4.49,0,0,1.67,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0.78,0,0,0,9.21,0,0,0,0,0,0,1.42,6.86,0,0,0,0,0
 48-58,0,0,0,0,0,1.44,0,4.65,0,0,0,0,0,0,0,0,0,14.17,6.28,0,0,0.57,10.75,0,0,0,0,0,1.3,0,1.44,0,0,0,0,0
 60-70,0,0,0,0,0,1.48,0,19.58,0,0.79,0,0,0.68,0,0,0,0,1.83,3.06,0,0,2.24,14.5,0,0,0,0,0,0,0,1.9,0,0,0,0,0
 72-82,0,0,0,0,2.03,3.35,2.45,49.68,0,8.36,0,2.88,3.27,0,0,0,0,133.18,39.37,0,0,2.09,21.14,0,0,0,0,0,0,3.05,1.4,0,0,4.73,0,1.88
 84-94,0,0,0,0,1.35,8.55,5.05,69.96,0,0,2.76,0,10.54,0,0,0,0,576.69,17.49,0,0,1.34,27.88,0,0,0,0,0,0,0.81,0,0,0,1.81,2.71,0
 96-106,0,0,1.38,0,5.48,14.15,31.78,115.86,1.93,9.15,18.33,30.41,20.42,0.97,6.87,1.59,1.02,1003.56,251.95,0.71,0,13.07,150.11,0.62,0.56,3.39,0,1.44,17.74,1.24,0,1.88,1.96,19.88,0.87,0
108-118,0,0,0.94,0,10.12,5.94,152.02,99.27,0,0.62,9.13,14.88,35.28,0,3.95,1.33,0.73,2487.69,340.86,0,2.79,16.07,226.3,0,0,0,0,0,10.65,1.85,1.2,0,1.94,34.22,1.75,7.11
120,0,0,0,0,3.83,8.83,52.71,99.32,0,0,80.33,18.26,19.33,0,0,0,0,688.35,483.76,0,13.51,19.9,42.72,6.07,0,0,0,0,5.09,3.07,8.23,0,0,12.02,0,0
