stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,968.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.38,0,0,0,0,0,0,0,0,0,0
  5-6,80.69,441.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,8.05,9.26,0,0,0,0,0,0,0,0,0,0
  7-9,6.85,0,7.2,0,0,0,5.79,0,0,0,0,37.94,0,0,0,0,0,0,0,0,96.14,8.17,0,0,65.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,12.46,0,10.52,0,6.54,0,0,0,0,22.35,0,0,0,0,0,0,0,0,156.07,0,0,0,24.82,0,4.94,0,49.37,0,0,0,0,0,0,0
 14-21,0,0,2.34,6.48,488.6,0,0,0,0,0,1.05,0,12.5,0,0,0,0,3.61,0,2.7,22.38,0,0,0,1.09,0.89,0,1,0,1.91,0.92,5.29,0,190.89,0,0
 24-34,0,0,0,1.33,48.52,0,0,0,0,0,0,0,30.72,1.33,0,0,4.01,3.31,0,1.5,21.07,0,1.36,0,0,8.91,0,0,3.29,0,0.84,6.85,0,760.55,0,0
 36-46,0,0,0,0.7,17.74,0,0,0,0,0,0,0,17.54,27.24,0,0,0,0.61,0,0,35.96,0,0,0.67,0,5.76,0,0,0,0,0,0,0,380.02,0,0
 48-58,0,0,0,2.14,3.37,0,1.36,0.62,1.5,0.49,0,0,26.22,0.85,0,0,0,6.46,4.04,0,25.56,0,0,0,0,0,0,0,0.46,0,0,4.07,0,293.21,0,0
 60-70,0,0,0,3.67,5.58,0,11.19,0,0.7,0,0,0,50.57,5.56,0,0,0,71.15,0.95,0,33.32,0,0,0,0,2.47,0,0,4.15,0,0,1.92,6.69,394.29,0.91,0
 72-82,0,0,0,1.58,0,0,11.03,0,1.73,7.95,2.85,0,24.12,0.95,0,3.32,0,141.69,3.31,0.85,22.26,0,0,0,0,1.5,0,0,0,0,0,0.63,1.39,403.31,3.52,7
 84-94,0,0,0,2.64,0,0,13.4,0,1.32,0,0,0,21.65,6.8,0,0,0,108.87,0,1.66,13.8,0,0,0,0,0,0,0,0,0,0,5.98,2.1,426,1.1,0
 96-106,0,0,0,3.22,0,0,15.56,1,0,1.03,1.49,0,25.47,9.8,0,0,0,114.34,1.14,10.08,24.34,0,0,0,0,1.49,0,0,0.9,8.07,0,0,0.72,464.11,0,0
108-118,0,0,0,2.74,1.51,0.5,12.69,1.59,1.03,5.51,0,0,16.07,17.69,1.21,0,0.6,126.09,0,2.36,11.52,0,0,0,0,5.1,0,0,1.43,0,0,0,2.26,420.66,1.1,0
120,0,0,0,9.77,0,0,0,3.14,0,0,0,0,3.22,13.85,0,0,0,70.74,0,0,28.99,0,0,0,0,2.81,0,0,0,0,0,0,2.15,625.42,1.93,0
