stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.62,40.28,0,0,0,0,0,0,0,0,0,0,0,0,12.29,0,0,2.31,0,0,2.13,60.7,0,0,89.68,0,0,0,0,0,69.82,0,0,0,0,0
 24-34,0,0,0.84,0,8.95,0,2.24,0,0,0.99,0.73,0,0,0,0,0,0,38.68,0,0,17.38,0,0,5.46,824.76,0.95,3.8,134.82,0,0,0,1.58,6.92,239.64,0,0,8.39,0,0
 36-46,0,0,0,0,6.35,0.76,22.77,0,0,0,15.46,0,0,0,0,0,0,40.33,0,0,19.35,1.41,0,0.73,2111.02,0,8.54,38.01,0,9.03,0,0,3.91,523.92,0,0,0,0,0
 48-58,0,0,0,0,36.78,0,207.7,0,0.85,1.44,42.39,0,0,0,0,0,0,57.67,2.27,0,58.33,0,0,15.31,2396.16,0,8.05,29.29,0,4.68,0,0,0.53,671.23,0,0,5.14,0,0
 60-70,0,0,0,0,66.53,0.77,2341.87,3.1,1.03,2.52,37.96,0.62,0,1.59,0,0,0,38.25,0,0,136.19,0,2.16,12.23,2712.51,6.68,3.49,9.97,0,2.88,0,0,6.48,576.06,3.34,0,0,0,7.46
 72-82,0,0,1.33,0,73.41,4.25,3727.13,0,0,3.08,106.3,0.72,0.5,0,0.49,0.7,0,63.99,1.36,0,399.47,0,4.72,8.13,2662.43,0,6.38,7.91,3.88,6.7,0,0,5.58,339.22,6.91,1.31,1.97,2.39,0
 84-94,0,0,0.94,0,197.65,0.64,2561.51,0.56,14.98,4.53,103.74,3.12,0,0,1.87,0.82,0.71,48.7,0,3.18,314.95,0,12.78,14.32,1490.12,0,6.14,13.81,0,13.89,0,0,7.01,172.07,36.25,8.12,8.48,5.03,0
 96-106,0,0,0.87,0,188.05,13.44,2409.89,2.7,4.91,2.83,85.94,15.57,0,8.63,5.74,0.63,0,26.52,0,3.66,285.52,4.22,2.76,16.24,1224.63,0,13.08,12.23,0.97,1.55,0.76,0,3.75,48.76,37.14,1.1,1.77,3.93,0
108-118,0.67,0,0,0,206.39,5.99,1884.94,4.79,13.37,1.28,115.27,35.63,0,5.9,2.28,0,0.82,39.65,0,0,360.69,2.79,12.61,27.85,1217.12,0,1.24,4.1,15.07,1.59,0,0,4.48,43.39,71.1,2.03,11.69,1.03,2.04
120,0,0,9.49,0,217.31,0,954.64,0,12.63,0,197.98,8.5,0,15.18,0,9.33,0,5.2,0,0,266.62,1.69,31.95,13.42,1668.69,0,4.61,6.12,22.74,8.38,2.5,0,0,10.51,42.72,0,14.34,18.04,0
