stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.05,0,0,0,0,17.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.61,0,0,0,22.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21.61,1.88,5.07,0,0,0,16.73,2.23,0,0,0,0,0,0,0,23.73,0,0,11.07,102.57,7.7,0,0,1.98,0,0,8.93,0,6.53,59.3,0,0,0,0,0
 24-34,0,0,2.48,21.11,0,22.51,0,9.12,0.61,13.39,0,4.39,0,0,0,0.68,1.13,0,56.5,0,0,12.04,296.64,0,2.56,2.26,0,0,9.58,0,0,0.71,101.91,0,0,6.79,0,0
 36-46,0,0,0,27.75,0,21.12,0,2.7,14.67,25.32,0,0,0,0,15.47,1.17,0,0.86,43.2,0,0,10.3,410.75,0.98,3.21,2,0,0.77,1.34,0,6.73,0,120.17,0,0,20.2,0,0
 48-58,0,0,0,26.37,0,67.95,0,1.77,0.67,68.54,0,1.83,1.26,0,9.11,0.92,2.22,2.65,68.98,0,4.38,7.25,473.62,0,3.3,2,0,0.73,3.61,0,0,0,124.27,0,0,7.99,0,7.44
 60-70,0,0.91,0,9.56,0,105.55,0,0,0,95.07,0,1.64,0,0,12.35,0.86,1.41,0,55.35,0,0.68,2.94,654.52,2.09,6.47,4.45,0,0,0,0,0,0,90.26,0,3.07,2.38,0,4.2
 72-82,0,0,0,4.18,1.99,218.77,2.1,0.57,4.84,79.63,2.45,0.68,2.11,0,4.29,0.81,2.73,6.78,78.98,0,3.3,4.42,804.86,0,7.43,4.1,0,0.71,0,0,0,0,37.22,1.88,0.74,11.34,3.84,0.63
 84-94,0,0,1,5.75,0,214.7,0,8.29,0,64.07,0.73,2.23,0,0,14.77,1.63,0,7.97,54.17,0,16.98,7.33,610.85,0.57,6.47,15.28,0,0,4.84,0,1.07,0,14.98,0,0,6.64,3.56,0
 96-106,0,0,0,8.08,4.66,224.04,0,0,0,50.06,0,0,0.56,1,23.25,5.83,6.69,2.5,58.27,0,10.96,1.8,599.56,0,7.15,11.82,0,0,0,0,1.71,0,30,0,0.92,6.19,0,3.66
108-118,0,0,0,8.37,0,157.71,1.79,6.55,0.84,41.48,0.43,2.98,1.42,0,14.1,0,0,3.76,31.29,2.46,4.58,7.36,632.43,0,12.75,9.73,0,0,0.98,0,0.42,0,14.84,0,0.57,5.28,3.86,2.03
120,0,0,0,10.36,15.87,213.07,0,1.12,1.61,137.72,0,0,0,0,7.4,0,0,0,73.91,0,7.65,15.99,1191.36,0,3.86,13.42,0,0,0,0,0,0,67.62,0,0,7.17,0,2.21
