stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,26.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.62,50.95,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.8,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,81.77,0,0,0,13.03,0,0,0,0,0,0,0
 10-12,0,11.82,0,21.86,0,0,26.16,0,0,12.12,0,0,0,0,0,0,0,0,502.63,27.41,0,0,58.28,0,0,14.44,6.84,3.51,0,0
 14-21,0,0,0,0,10.18,4.4,0,1.22,0,0,0,0,0,0,0,1.76,0,1.72,43.79,0,0,2.55,1.52,0,8.71,0,0.94,16.25,0,0
 24-34,0,0,0,0,1.27,0,5.75,0.62,0,0,0.62,0,0.72,0,0,0.8,0,2.91,21.35,1.68,0.68,0,0,11.85,0,1.39,0.59,8.3,0,2.96
 36-46,0,0,0.98,0,1.31,0,4.04,1.85,0,0,0,0,0,0,0,3.36,0,1.66,34.21,0,0,0,0,0,0,0,0,9.08,0,0
 48-58,0,0,0,0,0.59,0,7.5,5.66,0,0,0,3.68,0,0,0,6.23,0.58,0.38,17.79,0,0,0.83,0,0,0,0,0,3.62,0,0
 60-70,0,0,0,0,0.57,0,14.29,3.61,0,0,0,0.63,0,0,0,1.7,1.82,0,34.61,0,0,0.81,0,0,0,0,0,1.57,0,0
 72-82,0,0,0,0,0,0,8.64,7.34,0,0,0,0,0,0,0,10.21,0,0,30.72,0,0,0.54,0,1.44,0,0,0,0.89,0.5,1.46
 84-94,0,0,0,0,1.2,0,18.75,1.95,1.01,0,4.08,0,0,0,0,9.28,0,1.38,26.12,0,0,0,0,1.59,0,0,0,0,0,2.09
 96-106,0,0,0,0,1.72,0,5.18,0,0.94,0,0.99,0,0.63,8.43,0,4.54,0,0.76,12.28,0,0,0,0,0,0,0,0,0,0,1.94
108-118,0,0,0,0,0,0,1.35,8.4,1.29,0,0.68,0.78,0,0,0.66,3.51,0,0,9.51,0,0.47,0,0,2.12,0,0,0,0.72,0,0
120,0,0,0,0,0,1.32,0,8.15,0,0,0,0,0,0,0,6.45,0,0,26.12,0,0,1.4,0,0,0,0,0,0,0,0
