stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,45.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,54.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,172.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,46.02,10.25,0,0,2609.31,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.1,59.17,0,0,0,40.89,0,0,0,0,0,42.87,0,0,0,0,0,0,0,0,0,0,0,385.5,44.05,0,0,10158.01,0,0,0,0,24.06,0,850.88,0,0,0,0,0
 14-21,0,0.9,0,21.95,0,0,7.84,0,0,0,5.3,3.33,0,0,0,0,0,0,0,0,9.63,0,0,334.05,127.66,0.9,0,1.77,22.15,0,5.36,0.91,1169.44,4.52,2910.75,11964.65,16.29,0,0.85,0,0
 24-34,0,0,0,6.23,2.1,0,8.17,262.19,0,0,3.32,1.08,0,0,0,0,0,0,0,0,15.75,0,0,207.89,178.06,4.62,1.76,1.97,0,0,7.85,0,20.13,0,421.73,1513.49,25.78,0,25.32,0,0
 36-46,0,0,0,1.21,6.7,0,25.63,383.64,6.34,3.65,0.87,0,0,0,2.12,0,0,0,0,0,89.94,0,0,394.83,255.5,6.8,0,3.47,24.53,0,7.76,0,3.2,0,178.81,34.49,23.56,0,0.64,0,0
 48-58,0,0,0,5.04,2.07,0,36.16,267.33,0.49,11.33,12.17,0,0,0,5.11,0.46,3.23,0,0.39,1.33,70.75,0.7,0.75,569.51,278.76,3.53,1.71,0.4,0,0,4.99,0,5.45,0,81.84,3.04,37.09,0,0.48,0,5.28
 60-70,0,0,0,10.85,0,0,39.92,131.02,0,3.81,17.95,0,0,0,0,0,0.6,0,8.62,9.72,32.63,0,2.56,354.72,122.64,0,0,0,0,0,4.36,0,0,0,48.07,0,17.25,1,0,0,0
 72-82,0,0,0,4.5,4.12,0,62.05,155.96,3.67,11.25,8.56,0.82,0,0,0,0.49,0,0,1.71,0,64.07,0,0,330.39,133.91,0,3.1,0,0,1.08,3.17,0,0,0,18.92,0,9.34,0,0,0,9.5
 84-94,0,0,0,10.48,13.86,0,69.21,189.98,0,3.63,12.21,0,0,0,0,0,0,0,14.42,0,61.12,0,0,286.87,76.39,0,8.48,0,0,0,4.82,0,0,0,31.77,0,0,0,0,0,0
 96-106,0,0,0,4.82,1.92,3.86,51.07,260.26,4.24,0.74,21.47,2.27,0,0.66,4.62,5.63,0,0.79,22.36,0,53.57,0,3.64,247.81,47.77,0,1.08,0.73,10.66,1.75,3.25,0,0,0,40.53,0,0.67,0,12.75,0,0
108-118,0,0,0,8.21,2.38,0,63.65,218.52,0,9.46,14.76,0.6,0,0,1.77,0,0,0,5.41,0,65.36,0,0,225.36,131.55,1.15,0.99,0,0,0,10.04,0,0,0,41.11,0,9.43,0,0.44,0,0
120,0,0,0,8.09,1.75,0,79.69,248.93,1.93,0,0,0,0,0,3.46,0,18.55,3.15,2.58,0,36.26,0,0,238.04,133.15,1.24,0,0,19.84,0,0,0,0,0,12.26,0,0,0,0,9.16,0
