stage,endocrine.pancreas,epidermis,eye,fast.muscle,gut,lateral.line,liver,mesenchyme,muscle,neural,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0.9,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.65,0,5.52,0,0,0,0,0,0,0.98,0
 36-46,0,0,0,0,0,0,0,0,0.96,5.87,0,0,0,0,0,0,0,1.19
 48-58,0,0,0,0,0,0,0,0.43,0,0,0,0,0,5.93,0,0,0,0
 60-70,0,0,0.81,0,2.67,0,0,0,0,9.43,0,0,0,0,0,0,0,0
 72-82,3.98,0,6.39,0.65,6.17,0,0.82,0,0,2.32,0,0,0,0,0,1.21,0,0
 84-94,7.64,0,0,0,16.63,0,11.76,2.97,0,1.64,0,0,0,0,0,0,0,0
 96-106,3.16,0,3.66,0,35.6,0.79,7.55,2.25,0,7.65,1.11,0.83,0,0,1.01,0,4.87,0
108-118,1.89,0,6.89,0,61.72,0,7.1,0.58,0,9.49,0,8.53,0.59,2.21,0,0,0,0
120,40.39,4.76,0,0,36.82,0,2.12,2.64,0,3.04,0,0,0,0,1.63,0,0,0
