stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,175.03,0,0,1.66,11.61,0,0,0,0,3.63,0,0,0,1.5,0,0,34.73,8.65,0,0,11.55,0,0,0,0,21.21,0,0,0,0
 24-34,37.22,0,0,173.73,34.24,0,0,0,0,19.75,0,0.73,0,1.86,2,0,22.29,0,0,0.64,0,0,2.95,0,0.64,5.8,0,0,0.82,0
 36-46,0,0,0,306.48,4.63,0,0.63,0,0,80.72,0,0,0,5.63,0,0.6,29.4,0.61,0,0,0,0,8.11,0,0,5.62,0,0,0,0
 48-58,3.92,0,0,407.93,3.75,0,0.79,0,0,59.95,0,0.4,0,2.62,0.39,0,31.57,0,0.39,0,0,0,0,1.46,0,17.08,0,0,0,0
 60-70,4.47,0,0,284.91,1.49,0,27.76,0,0,117.49,0.75,0.7,0,7.49,2.04,0,22.35,0,0.84,0,0,0,0,0,0,3.45,0,0,1.92,0
 72-82,2.22,2.02,0,267.53,0,0,157.33,2.51,1.17,54.01,1.74,4.57,0,67.69,1.73,0.78,59.25,1.92,0,0.53,0,0,8.46,0,0,12.81,0.67,0,0.5,0
 84-94,3.7,1.85,0,266.59,0,0,84.04,5.3,0.66,137.23,0,10.65,0,121.63,0,0,85.29,0,2.14,0,0,0,1.41,0,0,16.09,0,0,11.52,0
 96-106,2.04,14.43,1.41,290,0.96,1.02,184.77,6.2,0,133.46,0,12.02,0,196.99,0,1.56,72.33,0,0.79,0,0,2.14,0.66,0,0,17.87,0,1.24,0.7,0.67
108-118,11.75,1.35,0.72,317.6,0,0,226.63,1.93,0,141.11,0,12.64,0,218.66,6.81,0,48.43,0,2.39,2.09,0,0,0,0,0,10.95,0,0,0,4.02
120,104.72,14.98,0,352.43,0,0,243.52,3.12,0,127.36,0,4.73,3.79,72.62,0,0,52.21,0,1.99,0,0,0,0,0,0,3.71,0,0,1.48,0
