stage,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle
  7-9,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0
 14-21,0,0,0,1.9,0,0,0,0,0,36.45,0,0,0,14.97,0,0
 24-34,0,0.76,0,0,0,0,1.56,0,0,135.54,1.29,0,3.29,17.86,0,0
 36-46,0.64,9.87,1.39,4.57,0,0,0,0,0,185.95,3.57,0,1.8,40.18,0,0
 48-58,3.47,44.25,0,2.63,0,0,1.25,0,0,248.96,0,0,0,46.53,0,0
 60-70,0,82.66,0,3.65,0,0,0,0,0.59,217.14,1.12,0,2.52,28.43,0,0.65
 72-82,0.51,42.33,0,2.1,0,0,0.63,0.63,0,160.42,0,0,0.56,17.12,0,0
 84-94,0,30.79,0,3.74,0,0,0,0,0,104.4,0,0.7,2.57,7.58,0,0
 96-106,0,29.75,0,2.35,1.19,0,0,0,0,71.83,1.12,0,0,2.28,0,0
108-118,1.4,16.59,0,0,0,0,0,0,0,63.34,0.46,0,0,2.93,0.68,0
120,0,9.44,0,0,0,0,0,0,0,122.22,0,0,0,0,0,0
