stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.34,0,0,0,6.18,0,122.77,4.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,149.81,0,0,0,9.29,0,167.8,0,0,8.6,0,0,0,0,0,0
 14-21,0,31.49,4.12,3.89,0,0,2.49,0,2.13,0,0,2.91,0,0,12.56,10.69,0,6.06,63.75,0,0,0,0,0,4118.04,0,16.47,0,0,4.58,15.91,0,0,0
 24-34,0,4.01,0.91,4.44,0,4.02,1.17,0,6.16,1.17,0,3.66,0,0,3.66,14.98,0,6.25,98.75,1.29,7.51,0,0,0,3683.32,0,0,0,2.47,1.78,8.65,0,1.65,0
 36-46,0,14.85,0,5.42,1.18,3.96,0,0,0,0,0,0,0,0,6.88,4.96,0,0.69,85.38,0.72,1.78,1.93,0,0,1876.71,0,0,0,0,0,9.94,0,0.81,1.26
 48-58,0,2.3,0,6.71,0,0.97,0,0,0,0,0,0,0,0,2.88,2.31,0,0.98,18.45,0,0.7,0,0,0.39,438,0,0,0,0,0,2.7,0,0,2.83
 60-70,0,0,0,2.09,0,2.31,0,0,0,0,0,0,0,0,0.84,0,0,1.46,14.42,0,0,0,0,0,130.49,0,0,1.54,0,0,1.76,2.88,0,0
 72-82,0,2.99,0,14.65,0,1.51,0,0.54,0,0,0,0.76,0,0,0,0,0,0,9.26,0,0,0,0,0,80.51,0,0,0,0,0,0,0,0,0
 84-94,0,2.98,0,8.59,0,3.97,0.75,0,0,0,0,0,0,0,0.8,10.99,0,0,10.06,0,0.81,0,0,0,454.16,0,0,0,0,0,0,12.1,0,0
 96-106,0,18.1,0,16.55,0,1.9,16.5,2.16,0,0,0,1.36,0,0,1.26,1.52,0,0,2.43,0,0,0,0,0,193.14,0,0,0,0.6,0,0,4.24,0,0
108-118,0,10.94,0,30.38,0,6.17,5.83,0.71,0,0,3.24,7,1.44,0.89,1.49,2.03,2.61,0,22.11,0,0,0,0,0,477.89,0,0,0,0,0,2.82,16.5,0,0
120,0,4.44,0,14.69,0,3.53,0,1.36,0,0,20.18,2.51,0,0,0,1.11,3.62,0,14.88,0,0,0,0,0,133.26,0,0,0,0,0,0,0,0,0
