stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,11.51,366.17,0,0,0,0,0,0,0,0,0,0,0,0,0,38.92,0,0,0,0,0
  5-6,73.18,525.76,0,0,0,0,0,16.53,0,0,0,16.14,0,0,0,109.4,0,0,0,0,0
  7-9,16.35,4.73,4.7,0,0,3.56,0,8.24,0,0,0,227.79,24.6,0,100.12,76.4,9.95,0,0,0,0
 10-12,0,19.77,28.63,0,23.07,62.36,0,11.94,0,0,0,582.68,14.6,0,145.51,22.48,11.16,5.64,22.45,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.9,8.93,0,0,0,0.72,0,0,0,1.27,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.15,8.64,0,0,0,1.89,0,0,0,1.78,0
 48-58,0,0,0,0,0,1.08,2.07,0,0,0,0.79,7.9,0,0,0,6.14,0,0,0,0.62,0
 60-70,0,0,0,0,0,3.86,0,0,0,0,0,9.84,0,0,0,0,0,0,0,0.96,1.58
 72-82,0,0,0,0,0,3.42,0.84,0,0.59,0,3.05,5.1,0,0.6,0,0,0,0,0,0,0
 84-94,0,0,0,1.11,0,0,0,0,0,0.64,0,9.86,0,0,0,0.97,0,0,0,0,0
 96-106,0,0,0,0.56,0,0.94,1.18,0,0,0,0,1.61,0,1.84,0,0,0,0,0,0,0
108-118,0,0,0,1,0,4.72,0,0,0,0,1.79,10.17,0,0,0,0,0,0,0,0,0
120,0,0,0,1.69,0,0,0,0,0,0,5.35,30.41,0,0,0,2.22,0,0,0,0,0
