stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.67,88.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.96,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0,17.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.93,8.59,0,0,74.69,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.89,4.88,0,0,0,0.98,0,0,0,0,0,0,0,0,0,12.39,0,14.66,18.71,0,0,0,2.07,0,0,2,5.17,0,18.9,12.98,0,1.09,0,0.85
 24-34,0,0,0,3.75,1.94,1.76,1.42,5,0.8,0,0,1.53,1.21,0,0,0,0,0,50.93,0,42.6,25.53,0.6,0,2.11,0,0,0,0,0,2.51,0.71,2.88,0,1.46,0,0
 36-46,0,0,0,4.71,0,0,0,0.78,4.32,0,0,0,0,0,0,0,0,1.49,96.61,0,19.57,5.6,1.28,0,4.14,0,0,0,0.68,0,3.56,0,2.65,0,0,0,0
 48-58,0,0,0,1.3,0,3.36,0,1.8,1.02,0,0,1.27,0.45,0,0,0,0,0,87.77,1.13,11.13,43.83,0.43,0,1.51,0,0,0,0,0,0,0,1.59,1.66,0,0,0
 60-70,0,0,0,0,0,14.98,1.33,2.32,13.81,0,0,1.85,0.77,0,0,0,0,0,117.71,3.86,10.94,35.89,0,0,0,0,0.84,0,0,0,0,0,2.17,1.03,0.76,0.61,1.94
 72-82,0,0,0,2.95,3.71,48.53,0,2.01,2.45,0,0,0.58,0.6,0,0,0.69,0,0,214.49,8.11,20.87,12.31,0,0,2.82,0,8.92,0,0,0,1.26,0,5.07,8.61,3.47,14.61,0
 84-94,0,0,0,8.69,0,39.76,4.55,4.06,4.86,0,0,0,8.06,0,0.65,0.59,0.56,0,188.22,4.89,9.11,8.74,0.56,0,1.1,0,0.77,0,0,0,1.77,0,0,4.86,10.16,11.36,0
 96-106,0,0,0,1.17,4.68,64.41,2.03,3.24,10.75,0.75,0,1.52,0.94,8.38,0,1.11,7.43,0,94.25,22.98,16.58,29.3,0,0,6.04,0,6.03,2.69,0,0,0,0,2.43,4,5.16,10.01,0
108-118,0,0,0,11.69,0.72,53.84,0,4.84,5.36,2.83,0,0,2.17,0,0,0,0,0.53,177.25,10.32,10.08,20,0,0.53,8.83,0,3.16,0,0,0,2.08,0,1.26,2.98,2.12,10.46,0
120,0,0,0,24.65,1.9,102.95,1.42,0,4.16,3.71,0,0,1.69,0,0,0,0,0,133.42,28.63,8.42,13.97,1.03,0,9.06,0,21.56,0,0,0,4.18,0,11.27,13.99,36.09,28.21,0
