stage,epidermis,eye,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
 14-21,0.86,1.83,0,0,0,0,0,0,0,7.29,0,1.96,3.51,2.42,0
 24-34,1.27,0.81,0,0,0,0,0.85,0,0,13.44,0,0,0,2.07,0
 36-46,0,0,0.77,0,0,0,0,0,0,1.29,0,0,0,3.72,0
 48-58,1.74,1.46,0.39,0,0,0,0,0.39,0.7,5.78,0,0,0,2.6,0
 60-70,0,0,0.72,0.8,0,0,0,0,0,3.19,0,0,0,0,0
 72-82,0,0.54,3.9,0,0,1.4,0,0,0,3.89,5.54,0,0,0,0
 84-94,0,0,0,0,0,0,10.59,2.25,0,0,0,0,0,0,0.66
 96-106,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,4.69,0.46,0,0,0.98,0,0,0,0,0,0,0,0
120,2.37,0,0,0,1.61,0,0,0,2.2,0,0,0,0,0,0
