stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,spinal_cord
  5-6,9.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.05,0,0,0,0,0,0,0,1.03,2.08
 24-34,0,0,0,0,0,0,0,0,0,2.48,0
 36-46,0,0,0,0,0,1.34,0,0,0,1.56,1.15
 48-58,0,0,2.42,0.67,0,0,0.84,0,0,10.55,0
 60-70,0,0,14.24,0,0,0,0,0,0,1.35,0
 72-82,0,0,52.66,0,1.95,0,1.39,0,0,4.6,0
 84-94,0,0,71.51,0,0,0,1.89,1.03,0,0,0
 96-106,0,0,23.24,0,0,0,0,0,6.55,0,0
108-118,0,0,35.87,0,0,0,0,0,0,1.59,0
120,0,0,9.31,0,0,0,0,0,0,0,0
