stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,104.27,1752.34,0,0,0,0,0,0,0,0,0,131.22,0,0,0,0,0
  5-6,62.42,1013.56,0,0,0,0,0,0,6.44,0,0,27.22,0,0,0,0,0
  7-9,0,9.73,29.04,0,0,21.52,0,9.52,366.05,0,120.25,0,6.94,0,0,0,0
 10-12,0,6.19,21.27,0,0,13.09,0,0,101.09,5.32,44.85,0,10.42,0,10.58,0,0
 14-21,0,0,0,1.97,0.98,0,0,0,4.41,0,0,0,0,1.56,0,0.9,0.88
 48-58,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.66,0,0,0,0,1.48,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.66,0,2.81,0,0,0,0,0,0,0,0
