stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,379.5,9439.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.08,0,0,0,0,0,0,0,0,0
  5-6,705.38,11686.41,26.4,0,0,0,0,0,0,0,0,21.38,0,0,0,0,0,0,0,0,0,0,0,397.77,47.88,0,0,119.04,0,213.78,0,0,0,0,0,0,0,0,0
  7-9,247.97,459.1,845.14,0,8.92,0,1395.99,0,0,0,0,228.92,0,0,0,0,0,0,0,0,0,0,0,12293.76,290.75,0,0,4472.96,0,36.59,118.62,0,12.75,0,0,0,0,0,0
 10-12,0,333.12,645.82,0,73.94,0,1096.48,0,0,0,0,187.57,0,0,0,0,0,0,0,0,0,0,0,9348.26,150.35,0,0,3132.26,0,16.81,23.86,12.93,404.98,14.51,23.44,0,0,0,0
 14-21,0,0,11.65,128.72,35.62,0,68.27,0.91,0,19.67,4.08,4.02,1.15,0.92,3.36,0,0,0,1.08,91.29,0,0,41.43,1170.1,26.35,6.25,13.61,20.67,0,24.85,0,108.25,10.92,76.46,267.05,0,4.09,0,0
 24-34,0,0,2.47,30.58,17.55,0,178.93,0,4.19,32.5,2.87,1.4,2.11,2.45,4.49,0,1.72,0.61,0,151.14,1.34,2.4,66.26,1733.87,7.7,8.49,11.88,0,0,60.12,0,2.33,1.98,7.94,357.73,0,24.7,0,2.11
 36-46,0,0,0.8,11.09,1.4,0,399.07,2.25,0,26.13,2.16,0,0.63,2.9,0,0.91,0.7,1.8,0,112.54,0.63,3.26,39.37,1057.77,10.93,14.95,2.62,0,0,15.96,0,1.39,1.02,0,213.57,0,20.64,0,15.57
 48-58,0,0,0,23.4,2.78,0,528.08,1.6,4.02,29.19,0,0,5.63,2.29,1.15,3.66,1.87,1.96,0,132.65,2.05,7.47,24.16,550.79,6.22,0.88,11.93,0,0,17.24,0,0,0,0,101.17,0,14.82,0,0.93
 60-70,0,0,0,15.64,0.67,0,361.63,7.87,0.9,33.52,1.59,0,1.4,7.21,0,5.82,5.73,0,0,99.53,0,20.84,36.41,336.36,0.85,0,3.16,0,0,1.06,0,0,0,0,25.02,0,11.8,0,2.96
 72-82,0,0,0,12.55,6.28,0,107.65,3.52,0,24.99,4.53,0,0.5,0.63,2.14,0.93,0,10.22,0.49,82.33,0.71,14.01,10.24,180.59,0,1.88,3.79,0,1.12,1.84,0,0,0,0,1.63,0,8.97,0.51,1.6
 84-94,0,0,0,19.48,6.75,0.59,108.87,2.31,2.29,19.27,7.15,0,0,4.41,1.7,0,0.63,1.5,0,86.07,0,7.14,15.65,175.7,0.99,3.52,4.74,0,0,4.84,0,0,1.19,0,11.85,1.95,7.31,0,0
 96-106,0,0,0,15.49,4.77,0.67,83.85,1.25,3.22,22.08,3.82,0,1.69,15.78,0,0,1.93,1.77,0,35.59,0,1.39,5.44,108.17,0,1.49,5.69,0,1.44,9,0,0,0,0,0.84,0,5.81,0,0
108-118,0,0,0,12.28,7.88,0,99.21,0.59,0.89,25.57,2.75,0,0,10.89,0.59,2.85,0.6,5.75,0.76,40.6,0,0.63,19.77,170.03,0.57,3.42,6.08,0,0,7.91,0,0,0.5,0,2.32,5.31,7.11,0,0
120,0,0,0,14.88,6.21,1.14,96.59,0,0,13.87,0,0,0,6.45,1.36,0,0,0,0,39.58,0,11.09,8.07,172.41,0,4.69,8.32,0,0,0,0,0,0,0,0,0,9.31,0,0
