stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.98,221.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,251.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7,13.79,0,44.48,0,0,85.89,0,0,0,0,0,86.15,0,0,0,0,0,0,0,0,0,0,437.64,23.41,0,6.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.23,0,44.38,0,6.14,29.78,0,0,0,0,0,32.35,0,0,0,0,0,0,0,0,0,0,715.31,7.02,0,14.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.61,60.31,3.28,3.97,0,0,0,2.82,1.7,0,0,0,0,0,0,0,29.1,0,0,47.09,137.55,1.98,0.83,0.86,0,0,1.03,5.25,0,30.14,25.17,0,1.49,0,0
 24-34,0,0,0,2.25,16,2.29,9.94,0,0,0,5.85,1.93,0,1.71,0,0,0,0,0,172.73,0,0,70.3,99.98,0,12.45,0,0,7.57,0,0.97,0,7.28,39.84,0,2.81,0,0
 36-46,0,0,0,0,6.47,0,4.89,0,5.91,3.77,2.71,1.21,0,7.7,0,0,1.93,10.06,0,296.68,0,4.42,50.73,64.44,1.47,4.23,0,0,0,0,0,0,0,41.38,0,3.95,0,0
 48-58,0,0,0,0,4.31,0,14.93,1.6,11.14,2.7,6.45,0.68,2.77,2.18,0,0,3.02,0,4.18,299.79,0,4.93,43.61,64.58,0,3.89,0,0.61,0,0,0,0,0,11.96,0.37,2.37,0,0
 60-70,0,0,0.57,0,2.94,0,10.39,0,0.61,4.86,1.86,0,0,0.7,0,0,4.31,0,1.9,384.07,0,3.87,30.37,47.75,0,10.22,0,0,0,0,0,0,0,6.5,7.24,4.04,0.98,0
 72-82,0,0,0,0,2.1,0,5.79,0,0,3.33,30.17,0,0,1.37,0,0,4.89,0,0,347.42,0,12.39,31.14,33.54,0,12.44,0,0,1.55,0,3.73,0,0,1.25,5.4,0.62,3.66,0
 84-94,0,0,0,0,1.8,0.6,15.07,0,2.32,2.7,25.63,0.64,0,1.1,0,0,0,0,5.16,280.53,0,2.94,6.69,9.56,0,9.12,0,0,3,0,0.74,0.69,0,0,4,2.96,1.36,0
 96-106,0,0,0,0,5.72,0,13.96,1.64,1,0,18.13,0,0,3.3,0.68,2.23,0,4.24,1.83,183.01,0,5.57,16.3,22.73,0,6.69,0,2.9,1.33,0,3.95,0,0,0,7.33,6.06,2.81,0
108-118,0,0,0,0,1.86,0,10.3,0.56,0.6,0.74,20.76,0,0,0,1.38,0,0.66,0,1.26,274.82,1.59,7.09,8.75,18.69,0,17.8,0,3.57,0,0,0,0,0,2.77,8.23,2.67,0,0.62
120,0,0,0,0,8.26,0,5.89,0,2.19,5.55,10.12,0,0,0,0,0,0,0,0,278.77,0,18.63,8.66,50.69,0,2.75,0,7.72,6.63,0,1.2,1.21,0,0,5.4,5.94,10.94,4.37
