stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8,0,0,17.82,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0.83,32.17,0,0,0,0,0,0.83,0,5.38,6.87,0,0,0,0,0
 24-34,0,0,0.7,0.62,0,5.85,0,0,2.38,0.67,1.75,0,0.64,0,0,0,0,13.14,0,4.08,142.3,9.26,0,0,0,1.28,0,0,0,37.95,0,0,5,0,3.29
 36-46,0,0,0,1.66,0,12.23,0,0,15.48,0,1.4,0,0,0,0,0,11.36,11.98,0,1.66,264.22,4.84,2.7,0,0,5.11,0,7.75,0,46.28,0,0,0,0,0
 48-58,0,0,0,0.9,0,31.36,0,0,36.05,0,0,0,0.46,0,0,0,2.51,16.12,0,3.07,429.77,3.51,0,0,0,0.82,0,0,0,68.75,0,0,4.07,0,9.07
 60-70,0,0.86,0,1,0,58.35,0,0.96,36.01,0,0,0,0,0,0,0,0,10.56,0.75,1.02,655.57,0,0,0,0,1.26,0,0,0,65.19,0,0,2.2,0,14.5
 72-82,0,0.69,0,2.39,0,65.04,0,1.61,15.39,0,0.73,0.58,0,0,0,0,0.87,25.62,1.98,1.86,741.01,0,0,0,0,1.61,0,8.92,0,42.08,0,1.24,0,0,1.31
 84-94,0,0,0,0.92,0,52.09,1.27,0.75,19.7,0,0,0,0.83,4.42,0,0,4.19,20.21,0,0,459.72,10.09,0,0,0,2.55,0,0,0,23.48,1.17,0.63,0,0,3.65
 96-106,0,1.98,0,3.76,0,55.04,0,0,6.92,1.52,0,0,0,1.28,0,0.7,0,9.26,2.51,0,421.51,1.63,0,0,0,5.73,0,0,0,8.58,0,1.21,6.19,3.18,20.26
108-118,0,1.22,0,0.7,1.94,55.39,0.78,0,10.61,0.78,0,0.85,1.87,2.86,0.42,0,0.84,24.36,1.67,0,633.83,3.2,0,0,2.83,0,0,0,0,8.15,0,2.34,5.48,2.37,4.69
120,0,0,0,10.29,0,73.01,0,1.58,15.67,0,0,0,0,0,0,0,0,16.7,0,0,1020.74,6.73,0,0,0,3.89,0,0,0,42.36,0,0,0,0,0
