stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.32,51.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.28,0,6.59,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,8.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72,0,0,0,0,0.92,0,18.02,0,0,0
 24-34,0,0,0,1.37,0,5.3,0,0,0,1.7,0,0,1.54,0,0.79,173.28,0,0,0,0,0,6.16,162.45,0,0,1
 36-46,0,0,0,0,0,3.4,0,0,0,0.72,0,0,1.13,0,0,134.61,0,0,0,8.19,0,5.48,119.22,0,0,2.27
 48-58,0,0,0,0,0,3.01,0,0,0,2.57,0,0,2.99,0.51,0,210.23,0,0,1.29,0.52,0,2.59,78.74,0,0,0
 60-70,0,0,0,0.92,0.82,8.27,2.72,1.47,0,0.79,0,0,4.39,0,0,320.54,0,0,0,1.16,0,0.76,120.77,0,0,0
 72-82,0,0,1.79,1.26,0,31.71,0,15.16,0,1.04,1.62,0,1.46,0.81,0.99,550.06,1.46,0,1.53,0,0,0,89.83,0.72,0,0
 84-94,0,0,0,2.65,0,28.33,0.61,9.38,0,3.03,0,0,6.02,1.8,0,301.05,0,0,0,0,0,0,79.3,0,2.71,0
 96-106,0,0,2.56,2.25,0,31.61,0,10.62,1.5,2.17,0,0,7.97,1.1,0,302.97,0,0,2.31,0,0,0,51.1,8.43,0.61,4.45
108-118,0,0,0,2.44,0,34.71,0.87,5.4,0.66,3.16,0,2.42,12.12,0.75,0.92,250.97,0,0,1.07,0,0,0,40.6,0,0,0
120,0,0,0,0,0,64.09,0,9.47,0,0,0,0,0,2.22,0,535.72,0,0,2.63,0,0,0,43.54,1.1,0,0
