stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,lateral_line,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle
  5-6,22.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.93,0,0,0,0,0,21.03,7.12,0,4.3,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.82,0,5.07,0,0,0,1.39,0.83,0
 24-34,0,0.9,0,0,0.79,0,0,0,2.06,6.18,0,0.61,0,0,0.85,0
 36-46,0,1.24,0,0,0,7.56,0,0,0,1.98,0,0,0,0,0,0
 48-58,0,2.41,0,6.98,0,0,0,0,0,2.95,0,0,0,0,0,0
 60-70,0,0,0.84,0,0,0,0,0,0,3.45,0,3.7,0,0,0,0
 72-82,0,0,0,2,0,0,3.11,0,0,1.76,0,0,0,0,1.34,0.7
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0
 96-106,0,0,0,1.75,0,0,0,0,0.97,3.18,0,5.51,0,0,0,0
120,0,4.28,0,0,0,0,0,0,0,0,0,2.57,0,0,0,0
