stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0
  5-6,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.34,0,0,0,7.93,0,0,0,0,0,0
 14-21,0,0,0,0,1.54,0,0,0,0,3.87,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0.81,0,0,0
 24-34,0,0.59,1.4,0,0,0,0,0,0,5.28,0,0,0,2.47,0.86,0,25.36,0,0,0,0,0.95,0,0,3.09,0,0
 36-46,0,0,0.61,0,1.03,0,0,0,0,2.47,0.86,0.57,0,0,0.63,0,32.22,0,0,0,0,1.15,0.86,0,3.54,0,0
 48-58,0,0,0,0,3.59,0,0,0.37,0,0.44,0,0,0,0,0.91,0.79,27.04,0.99,0,0.5,0,4.69,0,0,2.72,0,0
 60-70,0,0,0,0,5.57,0.59,0,0,0,2.82,0,2.18,0,7.95,0.67,0,20.66,0,0,0.9,0,0,0.64,0,4.18,0,0
 72-82,0,0,2.48,0.95,0.9,0,0,0,0,0.79,0,4.57,0.79,0.49,0.57,0,16.46,0,1.3,3.18,0,0,0,0,2.79,1.24,0
 84-94,0,0,0.81,0,7.01,0,7.12,0,0,10.86,0,0.96,0,0,0,0,12.8,0,0,0,0,0,0.87,0,0,13.22,0
 96-106,0,0,6.92,2.23,2.16,0,3.29,0,0,4.6,0,6.76,0,3.25,0,0,22.28,0,0,0,0,1.25,0,0,0,4.13,0.59
108-118,0,0,2.7,0,1.26,0,5.39,0,1.77,8.66,0,6.71,1.53,4.25,2.88,0,5.72,0,1.62,1.07,0,4.2,1.94,0,0,9.08,0
120,0,0,3.18,0,0,0,1.12,0,0,8.33,0,4.65,0,0,0,0,15.52,0,0,0,0,1.68,0,0,0,6.74,0
