stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0.88,0,0,0,0,0,0,0,0,0,6.24,0,0,0,1.17,1.39,0,0
 24-34,0,0,1.4,0,0,0,0,0,0,0,14.97,0,0,0,0,0.65,0,0
 36-46,0.6,0,1.18,0,1.06,0,0,0,0.96,0,21.22,1.49,0,0,0,13.69,3.2,0
 48-58,0,0,5.37,0,0.62,0,0,0,0.87,0.55,25.4,0.6,0,0,0,7.23,0,0.48
 60-70,0,0,9.68,0,1.97,0,0,0,2.78,0,18.05,0,0,0,0,6.34,0,3.58
 72-82,0,11.97,15.92,0,4.28,0,0,0,0,0,14.7,0,0.69,0,0,0,0,0
 84-94,0,17.97,3.96,0,2.6,0,5.71,1.1,1.9,0,32.4,0,0,0,0,0,0,0
 96-106,3.99,15.91,5.08,0,0.9,0,0,0,1.12,0,11.7,0,0,3.74,0,0,0,0
108-118,0,16.91,4.31,0,6.75,0.74,0,0,1.01,0,21.19,0,0,0.83,0,0,1.56,0
120,0,3.92,26.2,1.77,14.6,0,0,0,0,0,22.43,0,0,0,0,0,0,0
