stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.99,10.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15,3.25,0,0,0,0,0,0
 14-21,0,4.05,0,0,0,0,1.07,0,1.27,0,0,0,0,0,0,0,0,23.96,0
 24-34,0,2.84,0,0,0,0,0.81,0,2.94,0,1.78,2.01,0,0,0,2.91,0,60.86,0
 36-46,0.75,0,0.73,0,0,0,0,0,9.64,0,0,0,0,0,0,2.33,0,106.64,0
 48-58,0.37,2.7,0.39,0,0,0,3.99,0,6.55,0.52,1.11,1.23,0,0,0,1.3,1.25,50.07,0
 60-70,0,10.5,0,1.67,0,0,1.56,2.53,16.19,0,2.43,1.3,0,0,0,0,0.71,45.76,0
 72-82,0,0,0,1.08,1.45,0,0.74,0,10.05,0.81,0,3.27,0,2.14,0,0,0.56,57.28,0.58
 84-94,0,0,0,3.91,0,0.84,0,0,21.78,0.75,0,0,0,1.01,0,0,0,70.95,0.77
 96-106,0,0.68,0.9,1.02,3.7,0,1.22,0,11.23,2.41,1.8,1.45,0,0,0.6,7.22,0,77.47,0.72
108-118,0.9,0,1.02,0,0,0,2.78,0,4,0.83,0,7.3,0,1.63,0,0,1.37,62.92,0.79
120,0,0,0,0,0,0,0,0,4.85,0,0,1.56,0,9,0,0,0,57,0
