stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.23,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,3.57,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0
 14-21,0,0,0,0,1.05,1.22,0,0,0,0,0,0,44.82,0,0,0,0,0,0,8.73,0
 24-34,0,0,0.91,0,1.09,0.61,0,0,0,0,0,0,189.65,0,0,0,0,0,0,32.59,0
 36-46,0,0,0,0,0.79,15.51,0,0,0,0,0,0,121.53,0,0.91,0,1.83,0,0,26.36,0
 48-58,0,0,0,0,1.09,21.03,0,0,0,0,0.7,0,35.89,0,0,0,0,0,0,10.64,0
 60-70,0,0,0,0,4.65,8.11,0,6,0,0.72,0,0,35.05,0,0,0,0,1.46,0,3.3,0
 72-82,0,0,1.05,0,3.34,28.95,0,0,0.53,0,0,0,30.62,0,0,0,0,0,0,1.54,0
 84-94,0,0,0,0,1.87,11.39,0,0,0,0,2.08,0,19.52,0,0,0,0,0,0,2.45,0
 96-106,0,0,0,3.28,2,25.43,0,1.76,0.92,0,2.08,0,12.48,0,1.09,0,1.41,0,0,0,0
108-118,0,0,0,0,4.84,48.33,1.97,0,0,0,0,0,24.04,1.51,1.38,0,1.24,0,0,0,0
120,0,0,1.58,0,6.19,46.88,0,0,0,0,0,6.84,50.95,0,0,0,0,0,0,0,6
