stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.5,118.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.02,15.98,0,13.29,0,0,0,5.15,0,0,0,0,0,0,0,0,0,157.39,0,0,25.02,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.52,0,0,17.51,0,0,0
 14-21,0,0,2.79,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,20.61,0,0,0,0,0,17.22
 24-34,0,0,1.85,0,0,0,0,0.74,0,0,0,0,0,0,2.11,0,0,217.06,0,2.46,0,0,4.03,104.65
 36-46,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,2.94,0,0.56,535.02,0,1.15,0,0,0,102.5
 48-58,0,0,0,0,0,0,0,28.91,8.97,0,0.85,0,0,2.65,5.35,0,0,743.18,5.81,0,0,5.79,0,113.06
 60-70,0,0,1.6,0,1.59,0,0,74.17,9.62,0,0,0,0,0,0.62,0,0,712.09,0,0,0,2.08,0,85.27
 72-82,0,0,0,0,2.18,1.96,0,73.95,5.86,0,0,0,0,0,4.29,0,1.23,781.37,0,0,0,3.16,0,89.81
 84-94,0,0,0.74,0,2.06,0,0,55.61,6.38,0,0.59,4.06,0,0,8.22,0,0,588.76,0,0,0,0,0,37.08
 96-106,0,0,0,0,0,3.35,9.83,39.52,0.6,1.48,0,0,0,0,0.78,1.06,0,512.09,0,3.55,0,0,0,34.77
108-118,0,0,0.57,0,0,2.28,0,51.06,3.22,1.17,0,0,1.86,0,5.87,0,0,600.26,0,0,0,0,0,12.83
120,0,0,0,0,5.92,0,0,45.35,20.28,0,3.35,0,0,0,6.03,0,0,873.08,0,5.34,0,0,0,0
