stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0
  5-6,105.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.38,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,16.29,0,0,0,0,0,0,0,0,0
 14-21,0,16.42,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,13.55,0,0,0,0,0,0.93,1.65,0,0,0,0,0
 24-34,0,40.45,0,0.87,1.03,0,0,0,0,14.79,0,0,10.6,0,0,10.31,37.78,0,0,0,0,0,0,0,0,0,1.5,0,0
 36-46,0,62.31,0,4.44,0,0,0,0,0,13.7,0,0.89,31.5,0,0,2.98,157.17,0,0.56,0,0,1.61,0,8.54,0,0,0,0,0
 48-58,0,28.89,0,7.56,0,0.45,1.86,0.44,0,3.47,0,0,56.38,0,0,7.43,100.59,0,0,0,0,4.76,0,7.79,0,0,0.94,0,0.47
 60-70,0,11.64,0,7.7,0,6.46,0,0,0.58,2.06,0,0,119.52,0,0,15.83,99.2,0,0,0,0,0.57,0,5.11,0,9.17,0,0,0
 72-82,0,6.36,4.19,40.68,1.31,6.74,0,0,2.22,2.66,0,0,286.9,0,0,17.97,78.19,0,0,0,0,1.62,0,10.51,0,6.8,0,0.86,0
 84-94,0,6.85,3.31,9.99,1.65,1.85,0.67,0,0,2.29,0,0,212.06,0,0,18.17,56.69,0,0,0,0,2.8,0,0,5.28,2.46,0,0,7.59
 96-106,0,6.3,1.52,7.18,0,9.06,1.86,0,0.65,0.91,0,0,345.33,0,2.07,10.47,47.88,0,0,0,0,2.84,0,1.88,0.67,3.35,0,0,10.31
108-118,0,2.14,0,19.42,0.43,10.85,0,3.23,0,0,0.52,0,449.34,1.14,2.78,6.65,71.55,0,0,0,10.06,2.52,0,2.35,0.54,6.26,0,0,0
120,0,2.31,0,0,0,7.57,2.63,0,5.05,2.24,0,0,376.6,0,0,14.88,57.19,0,0,0,0,1.33,0,0,0,0,0,0,0
