stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,glial,lateral.line,mesenchyme,neural,periderm,pronephros,spinal.cord
 14-21,0,0,0,0,0,0,0,0,2.08,0,0,0
 24-34,0,0,0,0,0,0.63,0,0,2.77,0,0,3.79
 36-46,0,0,0,0,0,0,0,0,1.78,0,0,1
 48-58,0,0,0,10.81,0.62,0,0,0,3.01,0.53,2.22,0
 60-70,0,0,0,2.73,0,2.89,0.67,0,6.18,0,0,1.53
 72-82,0,0,0,0.55,0,0,0,1.74,4.39,1.68,0,0
 84-94,0,0,0,1.36,0,0,0,0.56,2.92,0.57,0,0
 96-106,0,2.92,0,1.49,0,0,0,1.71,3.2,0,0,0
108-118,0.93,0.91,0.74,0,0,1.6,0,0,5.12,0,0,0
120,0,0,0,3.01,0,2.7,0,0,0,0,0,0
