stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,4,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0,0,1.24,0,0.89,0,0,2.27,1.62,0,0,0,0,0
 24-34,0,0,1.91,0,0,1.19,6.26,0,1.62,0,0,0,0,0,0,1.39,0,0,8.34,0,9.74,21.65,0,0,0,0,0.87,0,6.5,8.98,2.43,0,0,2.69,0,0
 36-46,0,0,0,0,0,0.62,51.22,0,0,0,0,0,0,0,0,0,0,0,3.6,0,5.2,32.62,0,2.27,0.63,0,0,0.82,27.11,1.77,9.53,0,0,0,0,0
 48-58,0,0,0.55,0,0,15.02,110.48,0,6.19,0,0.4,0,0,0,0,0.97,0,0,9.07,0,16.03,99.11,0,2.69,1.34,0,0,0,26.13,0,18.65,0,0,4.63,0,7.12
 60-70,0,0,0,0,0,19.48,62.7,0,2.9,0,0,0,0,0,0,0,0,0,8.98,0,5.73,27.99,0,0,3.31,0,3.28,1.86,19.04,0,4.65,0,0,1.96,0.81,0
 72-82,0,0,1.26,0,0,18.14,37.36,3.73,3.29,0,2.07,0,0,0,0,4.54,3.06,2.3,4.94,0,12.23,27.49,0,0,1.12,4.01,4.04,0,17.7,0,8.16,0,0,2.9,1.51,2.46
 84-94,0,1.01,0.74,2.16,2.96,16.21,45.44,0,1.25,0.63,0,0.97,0.73,1.16,0,1.7,0,0,11.98,0,5.51,20.4,0,0,0.58,0,3.97,1.62,10.28,0,9.98,0,0,0,0,0
 96-106,0,1.68,5.21,7.73,0,30.13,36.24,0,7.88,0,0,0,1.22,1.8,3.6,3.21,0,0,8.36,0,5.22,70.92,0,0,0,0,4.12,0,22.65,0,4.27,0.59,0,2.55,0.69,0
108-118,0,0,0.48,1.92,0,29.74,8.74,0,1.63,0,0,0,0.77,0,1.3,3.21,0,6.62,6.66,1.9,0.98,14.68,0.46,0.89,3.63,0,0.44,0,8.37,0,1.75,0,1.06,2.14,0,0
120,0,0,1.25,0,1.71,8.21,20.21,0,0,10.59,0,0,0,0,0,1.54,0,11.42,4.95,3.7,1.15,53.01,0,0,22.02,0,0,7.79,21.88,0,0,0,0,4.69,0,3.58
