stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.36,371.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,95.36,1849.2,30.49,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,1032.92,0,0,0,319.42,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.63,169.4,115.37,0,0,28.09,0,0,0,0,0,137.49,0,0,0,0,0,0,0,0,0,0,487.07,50.65,0,0,10475.4,0,0,20.13,0,0,0,0,0,0,0,0,0,0
 10-12,34.23,55.48,95.38,0,52.52,48.94,0,0,0,0,0,65.4,0,0,0,0,0,0,0,0,0,11.62,422.94,55.45,0,0,7237.87,0,0,0,56.31,166.56,0,74.65,0,0,0,0,0,0
 14-21,0,9,6.17,83.47,243.18,4.04,0,0,0,1.53,3.69,0.87,2.84,0,0,1.73,0,0,0,631.48,0,809.94,372.81,2.71,1.55,0,39.42,0,0,0,2017.42,17.69,38.98,889.32,4.43,0,0,52.32,0,0
 24-34,0,0,1.18,23.44,19.53,8.26,0,0,5.57,2.33,0,0,14.49,0,0,0,0,0,0.63,1439.11,0,432.2,210.31,0,0,0,0,0,2.81,0,6.66,5.32,1.32,99.45,3.23,0,0,319.38,0,0
 36-46,0,0,0,19.49,11.66,9.48,0.94,0,26.56,3.34,0,0,11.85,0,0,1.97,0,10.62,0,1828.46,0,418.92,214.3,0,1.39,0,10.27,4.35,0,0.98,5.67,6.05,1.98,0.83,11.78,0,0.62,177.73,3.1,0
 48-58,0.77,0,0,28.16,2.22,27.79,3.29,2.39,13.08,28.93,0,0,24.01,0,0,0,0.39,8.27,0,2314.88,2.84,241.05,181.2,0,0,0,0,1.91,2.96,0,0,2.08,0.62,0,7.29,0,13.36,176.92,0,0.93
 60-70,0,0,0,15.31,0,55.74,2.65,6.44,6.89,4.08,0,0,42.99,0,0,0,0,9.67,0,2372.88,18.4,150.39,109.62,0,0,0.57,0.81,22.17,0,0,0,7.43,8.99,0,17.82,0,34.69,160.17,0,0
 72-82,0,0,0,16.51,0,57.83,2.66,0,14.03,13.64,0.65,0,49.18,0.88,0,0,8.13,1.36,0,2825.75,19.98,110.39,79.07,1.01,0.73,0,1.13,56.14,0,0,0,6.24,9.66,0,7.81,0,64.02,175.15,10.91,1.87
 84-94,0,0,0,16.37,3.31,90.74,5.03,0,4.21,4.73,1.44,0,35.75,3.36,0.58,1.92,0,7.48,0,2211.44,12.1,113.56,86.89,0,0,0,0,19.67,0,0,0,14.25,11.27,0,0,0,53.56,176.51,2.92,0
 96-106,2.25,0,0,18.85,9.36,70.74,0.92,1.85,5.36,17.86,0,0,41.03,2.63,0,1.41,2.1,6.49,0,1704.67,23.78,83.45,68.08,0,0,0,0,52.14,5.32,0,0,8.95,0,0,0,3.37,61.32,191.59,8.02,0
108-118,3.95,0,0,19.49,0.6,43.32,8.29,3.68,12.11,12.09,0.53,0,29.42,3.89,0,0,0,0.6,5.63,1937.28,31.13,63.09,91.12,0.5,0,0,0,49.67,0,0,0,10.85,1.86,0,4.39,0,61.27,130.75,0.82,0
120,0,0,0,35.31,7.49,39.42,0,12.43,0,31.28,0,0,42.35,3.81,0,0,0,0,0,2001.23,41.29,53.87,57.83,0,0,1.67,10.96,34.68,0,0,0,3.93,2.74,0,11.27,0,62.02,166.83,0,0
