stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.69,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0.87,18,0,0,0,0,0,0,2.77,4.51,0,0,0,0,0
 24-34,1.57,5.06,0,0,7.61,0,0,0,1.15,0,0,0,0,0,0.8,3.64,0,0,0,88.56,0,0,0,0,0,0,0,60.12,0,0,1.45,0,0
 36-46,0.85,2.54,0,0,34.61,3.82,0,0,9.95,0,0,0,0,0,3.39,10.67,0,0,0,501.43,0,0,0,1.13,0,0,0,173.26,0,0,8,0,0
 48-58,2.74,22.31,0,0,90.89,0,1.9,0.97,20.3,0,0,0,5.18,0,0.92,11.42,0,0,0.99,901.43,0.47,0,0,2.49,0,0,0,177.96,0,0,2.36,0,7.24
 60-70,0,22.32,0,0,187.4,0,16.64,0,8.9,0,0,0,0,0,2.57,5.05,0,0,0,1718.25,0,0,0,0,0,0,0,318.84,0,0,10.62,0,0
 72-82,1.17,16.65,2.39,0,141.71,0,10.66,1.3,20.86,0,1.67,4.64,0,0,0,17.8,0,0,0,1519.69,0,2.15,0,1.79,0,0,0,357.28,0.82,1.38,7.51,0.76,5.78
 84-94,0,34.32,0.92,2.15,143.17,0,9.08,0.77,31.41,3.96,0.63,0.61,1.75,0.68,0,15.53,0,2.21,2.79,856.05,0,4.87,0,9.47,0.66,0,0,221.34,0.66,4.81,0.59,1.25,0
 96-106,0,22.59,6.96,3.22,148.29,0,5.52,0,34.5,1.5,6.7,1,0,4.97,0,13.11,0,0,0,871.04,0,0.62,0,1.49,0,1.4,0,149.95,0,0,2.21,0,0
108-118,0.54,53.66,0.69,53.83,114.48,0.44,17.62,0.43,38.55,0,7.16,1.05,0,1.96,0,31.84,1.22,0,3.47,1068.9,0,1.3,2.26,1.2,0.81,0.53,0,116.19,0,0,6.2,0,0
120,1.73,76.63,0,41.27,216.5,0,4.35,0,118.35,0,5.12,7.95,0,5.06,0,35.23,1.65,10.62,13.3,1457.44,0,8.6,0,0,0,0,0,182.45,0,0,13,0,0
