stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,520.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.41,0,0,0,0,0,0,0,0,0,0
  5-6,27.04,756.73,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,46.32,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.59,6.22,0,34.71,0,0,103.12,0,0,0,0,17.44,0,0,0,0,0,0,0,0,0,0,0,472.57,25.93,0,0,207.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.07,0,28.28,0,15.21,46.6,0,0,0,0,17.28,0,0,0,0,0,0,0,0,0,0,0,410.93,26.69,0,0,131.73,0,0,0,0,16.49,0,5.61,0,0,0,0,0
 14-21,0,0,1.11,1.76,20.49,5.29,3.09,0,0,3.38,0,1.78,0,0,0.81,0,0,0,1.54,10.81,0,0,13.43,78.75,5.25,0.86,0.84,7.6,0,0,1.53,39.19,1,1.07,17.29,31.47,0,2.01,0,0
 24-34,0,0,0,0,3.1,1.62,19.27,0.85,0,2.04,1.02,0,2.35,1.44,1.32,0,0,0,3.7,12.39,0,0,7.25,168.7,0,0,2.26,0,0,8.02,0,0,0,0,7.02,32.68,0,3.74,0,0.77
 36-46,0,0,0,0,7.98,0.75,29.56,0,4.96,0.92,0,0,0,9.17,0,0.57,0,0,0,14.15,0,0,2.17,203.48,0.58,1.76,0.79,0,0,12.56,0,0,2.03,0,0,34.93,0,6.98,0,0
 48-58,0,0,0,0,5.29,0,48.75,1.06,0.93,7.52,0,0.75,1.37,0,0,0,0.56,2.5,0.48,14.84,0,0,4.04,163.35,0,0,1.57,0,0,12.38,0,0,1.07,0,0,39.31,0,4.15,0,0
 60-70,0,0,0,0,3.6,0,88.59,0,0,15.88,0,0,0.76,1.64,1.16,0,1.75,0,9.05,44.99,1.91,0,2.53,100.99,0,3.26,4.26,0,0,9.92,0,0,0,0,0,16.69,0,8.01,0,5.67
 72-82,0,0,0.95,0,0.71,7.65,49.22,2.5,1.56,10.8,0,0,0,2.38,0,0,5.31,0,0.49,14.22,0.79,0.75,1.72,92.64,0,0.67,0,0,0,6.68,0,0,2.05,0,0,18.34,0.5,11.45,0.74,0
 84-94,0,0,0,0,12.57,1.86,52.28,2.06,2.61,22.87,0.96,0,0,2.11,1.5,1.87,0,0,2.94,27.15,0,0.95,8,61.32,2.02,4.95,4.7,0,0,7.09,0,0,0,0,0,4.14,2.26,3.7,1.25,8.62
 96-106,0,0,0,0,6.56,0,21.01,3.23,0,14.87,0.6,0,1.22,2.17,1.93,0,0,0,0,27.41,2.42,0,0,58.48,0,0,0.57,0,0,6.11,0,0,0,0,0,0,0,1.84,2.83,0
108-118,0,0,0,0,8.99,0,30.27,0.46,0,17.96,2.37,0,0,2.75,1.14,0.46,0,0,0,11.36,0,0,2.36,62.35,0,1.12,7.58,0,0,6.32,0,0,0,0.51,0,0,2.46,2.25,0,3.49
120,0,0,0,0,7.58,4.98,40.24,2.68,4.44,23.03,1.31,0,0,0,0,1.17,1.88,0,0,12.47,0,0,2.02,114.89,0,0,0,0,6.67,6.69,0,0,0,0,0,10.36,0,0,1.05,0
