stage,blastomeres,eye,mesenchyme,neural,periderm,spinal_cord
  5-6,8.53,0,0,0,15.84,0
 10-12,0,0,0,6.41,0,0
 24-34,0,0,0,0,0,1.48
 48-58,0,0,0,4.18,0,0
 60-70,0,0,0,4.03,0,0
 72-82,0,0.6,0.51,0,0,0
 96-106,0,0,0,0,0.64,0
108-118,0,0,0,1.94,0,3.28
