stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7,0,0,0,0,0
 24-34,2.85,11.01,0,0,0,0,0,0,6.04,0,0,0,5.1,0,0,0,0,0,0,0,0,0,36.32,2.55,0,2.79,0,0
 36-46,2.82,2.21,0,0,0,0,0,0,6.61,0,0,0,11.55,0,0,0,0.68,7.63,0.64,0,0,0,22.25,1.54,0,0,0,0
 48-58,2.73,0.4,0,0,0,12.76,0,0,12.73,0,0,0,21.17,1.07,0,0,0,6.62,0,0,0,0,10.11,0.92,0,0.64,0,0
 60-70,2.52,0,0,0,0,0,0,0,34.15,0,0,0,11.2,0.64,0,0,0,5.16,0,0,0,0,30.13,0,0,0,0,0
 72-82,19.92,0.78,2.73,0.73,1.63,10.25,0,0,90.04,0,0,0,24.6,1.58,0,0,0,26.62,0,0,0,0,32.75,2.45,0,0,0,0
 84-94,22.79,0.95,1.45,5.65,8.84,12.58,0,0,139.64,0.61,0,0,63.71,6.32,0,0,0.83,21.93,0,0,8.98,0,62.36,0,4.42,0,0,0
 96-106,27.21,3.16,3.82,7.57,12.4,25.21,0,12.67,194.81,0,0,0,109.83,17.52,2.42,4.02,9.33,62.04,0,0.6,4.65,0,51.63,0,4.85,0.61,0.69,1.4
108-118,16.14,3.33,1.17,0,20.57,27.97,0.57,13.96,147.59,0.77,0.82,0,151.91,9.36,0,0,4.62,32.42,0,0,0,0,44.3,0,5.49,0,0,3.17
120,22,6,1.1,0,3.13,14.93,0,0,205.6,5.54,0,1.6,184.98,9.27,0,0,5.3,46.76,0,0,1.13,2.5,52.79,0,3.26,0,0,0
