stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,181.45,2198.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.83,0,0,0,0,0,0,0,0,0,0
  5-6,12.48,232.44,0,0,0,0,0,0,0,0,0,0,0,0,0,72.91,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,0,0,7.77,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,10.98,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,0,0,0,1.9,0,1.37,6.16,0,0,0,0,0,0,0.91,0,0,1.11,0,0,0,0,0
 24-34,0,0,0,3.01,0,0,0,0,1.01,0,0,0,0,0,0,10.69,0,0,0,0,0,0,0,0.94,0.63,0.73,0.73,0,0,0,0
 36-46,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,9.45,0,0,0,0,0,0
 48-58,0,0,0,5.3,0,0.39,0,1.2,0,0,0,0,1.52,0,0.97,18.88,0,0,0,0,0,0,0,0,1.96,0,1.24,0,0,0,0
 60-70,0,0,0,6.39,1.95,9.48,0,2.59,0,0,0,0,2.06,0,0,42.61,0,0,0,0,8.37,0,0,0,0.64,0,7.31,0,0,0,0
 72-82,0,0,5.17,46.05,0,5.99,0,0.91,0,1.08,0,0,7.52,0,0,44.67,0,0.56,0,0,2.68,0,0,0.74,0,0,7.9,0,0,0,2.23
 84-94,0,0,2.14,16.62,0.69,5.07,1.27,7.2,0,0,0,0,1.11,0,4.16,38.64,0,1.65,0,0,3.48,0,0,3.6,14.76,0,8.17,0,0,0,0
 96-106,0,0,3.08,75,4.55,15.37,4.46,27.1,0,2.34,0,0,8.92,0,5.84,84.81,0,0.76,0,1.92,2.04,0,0,2.03,3.11,0,0,0,0,4.04,0.68
108-118,0,0,4.33,114.88,1.43,25.33,7.19,8.48,0,2.11,0.93,0.42,4.59,0.53,2.89,108.06,2.8,0.43,0,0,14.31,0,0,0,9.13,0,0,3.23,0.43,0.43,0
120,0,0,0,110.37,2.79,19.67,1.61,4.76,0,11.22,0,0,8.55,0,4.64,102.65,0,1.47,0,0,15.01,0,0,6.21,2.07,0,0,0,0,0,5.15
