stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.11,16.89,40.5,11.14,0,24.78,0,0.81,0,6.07,2.94,0,1.52,0,6.42,0,0,4.33,0,46.22,0,0,27.33,289.16,8.64,0,15.48,10.51,0,8.25,18.66,7.23,2.33,65.78,98.63,0,0,0,0,0
 24-34,0,0,5.04,15.01,2.29,0,43.26,0,0,2.82,3.91,1.22,0,2.88,0,6.49,0,0.63,0.69,0,81.23,0,1.6,30.93,485.14,20.8,0,15.63,0,0,30.63,0,6.92,6.33,25.99,109.2,0,0,50.39,0,0
 36-46,0,0,0,13.09,0,0,35.55,7.09,0.89,2.13,39.39,0,0,5.06,0,1.69,1.55,0.77,4.07,5.53,94.33,0,0.72,30.77,320.67,1.91,1.68,10.13,0,0,37.69,0,0,6.36,0.69,69.66,0,0,23.88,0,1.65
 48-58,0,0,0,17.84,3.06,0,37.47,4.97,6.29,1.28,67.03,2.78,3.95,3.16,0.86,1.26,0,2.67,0.37,0.78,109.12,3.46,3.47,19.62,171.49,12.35,0,13.65,0,0.56,32.72,0,0.37,1.68,0,35.38,0,0,19.07,0,6.97
 60-70,0,0,0,27.13,5.28,0,28.62,4.56,0.96,2.35,61.38,4.39,0,2.21,0,1.64,2.04,1.06,4.71,0,162.1,0,20.45,17.19,109.06,21.18,0,6.5,0,0,18.49,0,0,3.38,0,39.56,0,0,24.22,2.15,16.89
 72-82,0,0,0,20.03,15.59,0,20.33,4.56,0,11.95,51.03,2.4,0,5.73,2.22,3.59,0,4.83,2.13,14.97,191.05,1.38,7.41,14.21,74.69,4.61,1.27,10.81,0,3.46,19.93,0,0,0.53,0,8.85,0.95,3.19,19.22,6.52,0
 84-94,0,0.71,0,14.52,32.2,2.82,42.71,16.44,1.43,4.47,68.91,6.39,1.23,8.45,4.3,4.15,5.42,0,9.92,0,135.48,4.09,12.46,23.02,38.21,5.87,0,13.61,0,6.05,56.38,0,1.86,0.61,0,5.89,0,1.97,19.88,7.85,0
 96-106,0,0.94,0,18.95,18.88,0.8,51.83,2.03,2.44,3.51,29.77,5.25,0,2.42,0,8.34,2.86,3.5,5.91,1.32,213.04,5.12,9.06,11.1,45.71,3.18,2.56,19.1,0,0,45.15,0,0,0.6,0,3.16,0,1.54,35.01,5.56,4.94
108-118,0,0.8,0,36.41,0.76,0.55,34.33,7.73,4.01,5.04,62.34,2.94,0,2.73,1.4,6.06,4.79,5.11,15.32,8.18,143.07,4.82,8.34,12.78,90.75,10.81,0.46,20.28,0,0,49.46,0,2.37,0.55,0,10.49,0,4.97,22.23,4,14.24
120,1.12,0,0,41.59,17,0,26.33,2.23,8.5,1.82,116.35,4.75,0,0,9.97,11.29,0,0,2.83,0,184.45,0,0,19.03,51.44,1.03,0,10.17,0,0,27.77,0,0,2.35,0,0,0,1.54,16.67,7.35,0
