stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2.16,1.89,0,7.77,0,0,0,1.06,0.92,0,1.13,0,0.9,0,0,0,0,10.18,0,0,7.89,57.32,1.77,0,0,1.87,0,0,2.16,1.19,0,29.77,26.89,14.55,0,0,0,0,0
 24-34,0,0.71,1.11,0,0,11.13,0,1.14,0,2.23,0,0,0.6,0,2.98,0,0,0,0,11.45,0.93,0,1.98,47.37,44.19,0,0,0,0,1.26,0,0,1.45,4.11,2.09,5.47,0,0,1.01,0,1.52
 36-46,0,0,1.16,0,0,10.24,3.87,0,0.81,4.02,0,0,0,1.92,0,0.91,0,0,0,13.46,0,0,2.55,18.35,83.41,0,0,0,0,0,0,0,0,8.42,0,6.98,0,0,2.63,0,0
 48-58,0,0,0,0,0,16.27,1.33,0,1.35,9.77,0.4,0,1.7,0,0,0,0.39,0.39,0,12.92,0.57,0,5.47,28.42,157.62,0,0,0,0,0,0,0,0,0.68,0,4.76,0,0,4.13,0,0.92
 60-70,0.64,0,0.63,0,0,22.75,0,0,4.93,17.48,4.03,0,0,0,0,0,0,0,0.73,16.3,0,1.55,2.08,35.66,115.47,0,0,0,0,0,0,0,0.62,0,0,5.16,0,0,1.89,0,0.79
 72-82,0,0,6.94,0,0,27.93,0,0,1.34,21.03,2.79,0.49,2.42,1.75,0.55,1.42,1.07,2.14,1.94,26.84,0,0,2.72,30.88,37.03,0,0,0,0,0,0,0,0,1.69,0,9.12,0,0.94,8.77,0.99,0
 84-94,0,3.54,2.59,0.84,0,10.6,0,0,1.03,20.88,2.12,0,1.94,6.01,4,1.57,0,2.1,1.52,45.95,0,0.93,6.54,30.58,79.34,0,0.62,0,0,0.73,0,0,0,1.03,0,2.43,0,0,1.91,1.25,0
 96-106,0,1.92,1.46,7.6,0.66,15.9,0,0,4.26,22.1,11.29,0,0,5.55,0,0,0,0.7,0.68,27.32,0,1.72,2.52,34.62,25.85,1.15,0.64,0,0,0,0,0,0,0,0,1.13,0,0,13.45,1.57,8.85
108-118,0,1.56,0.59,0.46,1.86,24.39,1.61,0.43,3.29,31.65,9.86,0,0.93,9.24,1.11,7.64,0.87,3.94,4.74,50.32,0,0,2.87,30.92,20.77,0,2.62,0,1.07,0,0,0,1.05,0,0,0,0.54,1.16,13.66,1.93,0
120,0,0,7.08,0,0,44.12,0,0,0,6.24,5.94,0,10.68,5.07,0,8.68,0,3.13,8.8,38.48,0,6.37,1.12,27.53,30.95,0,6.54,0,0,0,0,0,0,0,0,21.57,0,0,3.12,0,0
