stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.46,279.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.44,1111.53,0,0,0,0,0,0,0,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,53.72,17.23,0,0,21.31,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,80.69,52.45,56.77,0,0,0,29.78,0,0,0,0,0,440.88,0,0,0,0,0,0,0,0,0,0,0,1228.97,71.11,0,0,1405.26,0,0,6.2,0,0,0,0,0,0,0,0,0
 10-12,0,10.8,73.5,0,11.83,0,18.2,0,0,0,0,0,185.3,0,0,0,0,0,0,0,0,0,0,0,594.14,94.26,0,0,791.2,0,0,4.94,0,0,7.28,0,0,0,0,0,0
 14-21,0,0,2.56,98.42,0.81,0,43.26,0,0,0,0,0,3.32,0.85,0,0,0,0,0,0,28.25,0,0,48.17,187.84,25.19,0,0,120.46,0,2.34,0.91,119.09,0,122.09,69.54,0,0,0,0,0
 24-34,0,0,0.79,82.8,0,0,34.29,0,18.48,0,2.16,0,0,8.11,0,0,0,2.14,0.65,0,42.46,0.63,0,52.25,134.16,2.75,0,0.61,0,2.28,1.77,0,2.33,3.05,42.4,19.15,0,0,0,0,0
 36-46,0,0,0,53.79,0,0,53.15,0,28.32,0,20.85,0.61,0,7.58,0,0,0,0,0,0,30.11,0,1.77,14.92,99.09,0.62,0,1.25,0,1.69,12.37,0,0,0,0,8.57,0,0,5.93,0,0
 48-58,0,0,0,39.21,0,0,274.73,0,20.05,0,67.4,0,0,0.78,0.43,0,0,0,0,0,41.81,0.74,3.15,10.22,170.67,0,1.1,4.19,0,0,3.86,0,0,0.37,0,31.86,0,0,0,0,0
 60-70,0,0,0,17.43,0,0,852,0.68,11.27,0,144.34,0,0,0,0,0,0,1.87,0,0,29.55,0,0,11.93,114.4,0,0,0,0,0,0,0,0,5.66,0,34.49,0,1.46,0,0,0
 72-82,0,0,0,15.76,0,0,1204.78,0,23.2,1.89,143.4,0,0,1.33,0,1.02,0,3.97,0,0,54.04,1.78,2.8,5.39,116.66,4.03,2.29,2.52,0,0,0,0,0,3.38,0,0.63,3.98,1.49,0,0,0
 84-94,0,0,0,24.68,1.3,0,725.63,0,34.49,2.76,126.82,4.01,2.11,1.22,0,1.21,0,7.59,0.89,0,67.37,0.62,1.4,6.61,85.79,0,0,1.32,0,0,3.66,0,0,9.94,0,4.7,0,3.18,0,2.63,0
 96-106,0,0,0,25.03,0,6.8,613.85,0,17.85,0,75.21,2,0,0,0.95,2.5,1.36,4.22,3.97,0,66.01,0,1.09,6.65,52.2,0,3.8,0.65,0,0,15.81,0,0,1.94,0,9.85,1.13,5.49,1.65,1.02,8.86
108-118,0,0,0,27.29,0,0,470.96,0,18.38,0,153.61,0.82,0,0.83,7.72,1.9,0,1.3,0,0,37.13,1.69,1.65,3.98,84.42,0,1.56,10.54,0,0,0,0,0,6.15,0,0,4.63,0,0,0,1.25
120,0,0,0,27.58,12.87,0,361.25,0,23.03,14.53,196.7,2.52,0,0,0,0,0,0,0,1.51,34.96,1.05,8.33,1.83,64.54,3.88,0,4.66,0,0,0,0,0,4.65,0,33.33,0,13.11,0,2.27,0
