stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,23.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.65,0,0,0,233.62,0,0,0,0,56,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,0,1.99,0,0,1.65,1.08,17.54,0,0,10.37,0,26.75,1.19,0.89,0,0,2.88,0,0.91,23.39,108.37,599.9,2.27,0,0,0,0,0
 24-34,0,0,0.82,7.26,0,0,12.12,10.02,0,1.1,0.64,3.37,0,0,3.37,0,41.05,27.72,0,0.62,0,0,0,1.67,0,39.02,207.35,8.91,0,0,6.13,0,0
 36-46,0,0,0,0,0,0,2.71,51.93,0,0,0,4.96,0,0,6.18,0,41.73,43.26,0,0,0,0,0,0,1,28.19,6.65,5.07,0,0,0,0,0.65
 48-58,0,0,0.43,0.38,0,0,15.37,18.04,0,8.14,0,0,0,0,4.85,1.2,23.62,21.17,0,0,0,0,0,0,0,8.93,0,6.69,0,0.98,0.88,0,0
 60-70,0,0,0,0,0,0,18.98,16.14,0,3.24,0,0,0.63,0,2.07,0,10.8,16.19,0,0,0.76,0,0,0,0,8.99,0,9.03,0,0,0,0.94,0
 72-82,0,0,0,2.9,0,0,8.4,6.45,0,0,0,0,0,0,4.57,0.56,4.1,9.42,0,0,0,0,0,0,0,3.72,0,6.39,0,1.08,0,0,0
 84-94,0,0,0,1.12,3.96,0,2.13,4.37,0,0,0,0,0,0,6.35,0,15.63,7.44,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,5.33,22.68,0,8.05,0,0,0,1.08,2.56,0,10.68,17.63,0,0,0,0,0,0,0,0.57,0,2.16,0,0,0,2.03,0
108-118,0,0,0,0,0,2.29,2.21,17.73,0,3.62,0,0,0,0,6.26,0,17.9,6.12,0,0,0,0,1.84,0,0,2.2,0,0,0.88,0,1.71,0,0
120,0,0,0,0,0,0,4.51,14.75,1.04,0,0,0,0,0,2.08,0,13.2,7.93,0,0,0,0,0,0,0,0,0,0,1.37,0,0,8.01,0
