stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.98,137.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0
  5-6,8.35,91.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.94,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.06,0,0,0,4.13,0,5,0,0,0,0,0,0,0,0,0
 10-12,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.9,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,6.72,0,0,0,0,0,0,0,1.21,5.68,0,0,0,0,0
 24-34,0,0,1.43,0.7,0,0,4.08,0,0,0,3.01,0,0,0,0,0,0,0,0,0,2.11,0,0,0,232.25,0.98,0,0,0,0,0,0,0,0,92.84,0,0,1.71,0,0
 36-46,0,0,10.19,1.57,0,0,28.85,1.65,0,0,19.03,0,0,0,0,0,0,0,0,0,0.78,0,0,2.03,1343.49,0,0.66,0,0,0,4.7,0,0,0,384.62,0,0,0,0,0
 48-58,0,0,16.96,1.33,0,0,166.88,0,7.21,0,17.69,0,0,0,0,0,0,0,1.39,2.48,20.94,0,0,1.18,1980.9,0.42,1.13,6.97,4.77,0,4.06,0,0,0,348.39,0,0,3.93,0,7.84
 60-70,0,0,6.47,7.6,0,0,630.22,0,0,0,27.75,1.86,0,0,0,10.37,9.62,0,6.57,2.79,9.92,0,0,1.69,2789.07,0,0,1.22,0,0,11.86,3.07,2.41,0,448.73,0,1.29,1.73,0,7.08
 72-82,0,0,15.09,5.96,4.59,0,917.46,0.59,0,0.94,70.16,0,0.6,0.9,0,0,0,0.99,0.82,0.69,40.53,0.96,1.11,0.64,2788.55,0,1.67,11.04,0,2.73,1.97,0,0,0,332.16,1.74,0,7.57,0,29.76
 84-94,0,0,12.16,15.63,7.57,0,528.69,0,0,0.94,44.47,1.61,0,4.17,0,0,0,1.8,0,0,28.34,0,4.57,0.98,1869.59,0,0,2.12,0,0,0,0,0,0,220.33,0.9,0,5.6,2.29,3.77
 96-106,0,0,12.25,5.11,9.12,0.62,539.48,0,0,0,78.7,0,0,0,0,0,0,0,21.88,0,50.18,0,1.14,2.43,1790.03,0,0.59,1.07,0,2.63,11.28,0.7,0,0,139.52,3.72,0,10.53,1.91,8.58
108-118,0,0,9.32,21.17,0.54,3.92,485.78,0,1.44,0,108.71,0,0,0,0.82,0,0,2.09,7.13,0.97,28.04,0.54,6.68,2.05,1877.38,3.37,0,2.41,0,0,1.72,0,0.41,0,93.64,1.79,0,5.72,3.4,0
120,0,0,12.86,17.27,1.34,0,367.4,0,4.57,0,185.34,0,0,4.47,0,0,0,4.64,0,0,63.76,0,5.31,3.28,3326.85,1.38,0,1.64,0,0,2.12,0,0,0,115.01,0,0,6.36,0,0
