stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,31.98,8.39,0,0,12.88,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.24,16.39,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,27.11,0,0,0.82,0,0,0,0,0,1.19,0,0,13.21,0,0,0,0,4.5,0.9,0,2.91,15.73,3.86,1.54,10.18,1.09,0,7.26,0,0,0,0,6.84,0,0,0,0,0
 24-34,0,0,0,19.35,1.43,0,2.68,0,5.29,5.9,0.77,0,0,0,0.6,20.15,0,0,1.48,1.64,10.54,0,0,4.61,57.71,6.34,43.36,0.66,0,0,93.63,0,1.69,0,0.6,4.34,0,0,0,0,0
 36-46,0,0,0,24.6,0,0,0.8,0,7.07,10.13,35.62,0,0,1.45,0,8.52,14.38,0.74,0,0,27.88,0.59,0,3.57,55.59,9.8,25.69,0,0,0,159.29,0,0,0,0,6.89,0,0,0,0,0
 48-58,0,0.46,0,28.46,0,0,8.52,0.68,8.35,42.55,156.83,0,0,0.38,0,6.16,13.55,0,0,0,120.24,2.54,0,6.92,62.4,41.47,23.51,17.09,0,0,166.3,0,2.11,0,0,54.06,0,0,0,0,0
 60-70,0,0,0,22.89,0,0,68.95,0,9.96,41.2,1398.21,1,10.8,0,0,13.17,76.52,1.52,0.68,0.88,361.4,7.04,0,8.71,124.3,27.08,11.55,3.78,0,0,264.62,0,0.97,0,0,204.4,0,0.88,0.71,0,1.79
 72-82,0,4.37,0,37.56,2.77,5.05,168.08,0,9.16,64.89,3765.51,15.03,3.72,0.73,4.13,21.14,39.9,5.88,0,1.95,590.79,1.3,1.72,17.77,142.96,5.9,27.71,8.01,0,0,281.91,0,9.99,3.15,0,76.47,7.75,8.35,0,4.33,5.03
 84-94,0,1.75,0,40.95,1.46,2.6,117.2,0,18.6,25.04,2769.93,19.49,2.31,0,5.11,28.35,83.68,5.45,0,10.35,545.08,10.89,10.84,31.78,81.55,12.77,31.63,11.51,0,0,731.19,0,10.89,0,0,83.71,1.7,19.55,16.75,4.4,6.4
 96-106,0,2.75,0,42.38,8.02,9.64,190.2,4.89,13.28,18.04,2603.35,19.32,0,2.62,4.58,24.42,73.13,16.55,2.63,1.26,359.96,14.74,6.92,16.54,150.36,0.62,55.09,15.9,0,4.36,670.81,2.49,12.73,0,0,7.8,3.34,5.43,14.99,8.42,3.88
108-118,0,1.91,0.61,36.08,0.46,53.44,66.28,0,19.9,20.18,3325,23.09,0,0.64,19.85,27.24,131.3,11.14,4.63,10.5,276.14,17.29,0,4.11,150.9,8.68,33.3,4.14,0,3.16,542.27,0,49.02,0,0,14.27,2.34,11.55,1.68,3.83,0
120,2.82,20.1,0,51.77,3.86,11.63,84.81,8.66,19.24,5.19,3889.67,18.99,0,1.61,25.78,19.34,58.95,12.11,15.5,0,212.51,0,0,11.1,122.87,2.31,36.75,15.28,0,0,453.11,0,31.93,0,0,24.25,1.19,8.2,0,27.09,0
