stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,163.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0,0,0
  5-6,14.35,97.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,5.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.8,3.15,0,0,0,0,0,1.96,0,0,0,0,0,0,1.85,0,0,0,5.57,0.86,0,0,0,0,3.04,0,0,0,0,0,0,0
 24-34,0,0,0,0,8.91,0,0,4.55,0,2.4,0,0,0,0,0,1.23,0,0,13.26,0,0.81,1.67,7.95,0,4.24,0.9,0,0,14.05,2.65,0,0,0,2.24,0,0
 36-46,0,0,0,0,2.59,0,0.76,0.74,0,1.6,0,2.11,6,0,0,1.21,0,0,19.58,0.95,0,0.75,1.52,0,2.43,1.82,0,0,33.16,0,0,0,0,10.13,0,2.51
 48-58,0,0,0,0,5.89,0,2.29,0.62,2.52,0.64,0,0,0.45,0,0,0.56,0,3.82,17.12,0,1.22,0.49,10,0,3.38,0,0,0,11.05,0,8.99,0,0.37,6.29,0,0.63
 60-70,0,0,0,0,14.86,0,0,1.57,0.88,7.66,0,0,0.57,0,0,1.26,0,0,39.15,0,0,0.67,7.54,0,3.44,0,0,0.84,25.76,0,0,0,0,14.02,0,0
 72-82,0,0,1.89,0.56,17.53,0,0.55,1.69,3.21,7.94,0.51,1.5,0,1.19,0,2.59,0,0,57.95,2.55,0,0.77,8.56,0.89,5.78,1.46,0,0,10.76,0,0.64,0,0,10.7,1.5,2
 84-94,0,0,0,0,8.97,0,5.63,4.99,1.41,2.28,0,3.75,5.01,1.34,0,3.97,0,0,35.58,0,3.34,2.32,15.01,0,0,0,0,0,48.94,0,4.7,1.01,0,15.4,0,0
 96-106,0,0,0,0,18.18,2.65,6.86,1.21,4.69,4.78,3.18,1.02,2.93,3.92,0,0.63,2.19,0,25.65,0.68,1.36,1.01,21.91,0,3.09,0.68,0,0,24.56,0,0,1.49,2.05,1.95,2.21,1.9
108-118,0,0,0.54,0,14.56,0,0,2.6,1.79,10.62,3.46,0,4.9,4.6,0.71,3.36,0,0.47,43.71,1.41,4.07,3.27,7.72,0,1.53,0.51,0,0,14.21,0,0,1.78,2.51,1.85,0,4.81
120,0,0,0,0,34.28,0,0,0,17.55,9.35,0,0,11.98,0,1.18,0,0,0,14.26,0,0,0,22.96,2.06,0,3.1,0,0,11.31,0,0,3.15,0,29.51,0,0
