stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle
  3-4,91.7,1356.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.96,0,0,0,0,0
  5-6,9.25,388.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96,13.91,0,0,0,19.2,0,0,0,0,0
  7-9,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,16.56,4.33,5.15,0,0,0,0
 10-12,0,0,0,0,0,0,3.26,0,0,0,23.61,0,0,0,0,0,0,0,0,10.22,0,0,0,0,4.52,0,0,0,0,0
 14-21,0,0,0,0,0.89,0,0,0,0,1.08,0,0,0,3.72,0,0,0,0,0,2.5,0,0,0.97,0,11.47,0.91,0,0,0,0
 24-34,0,0,0,0,1.4,0,0,0,0,1.42,0,0,0,8.85,0,0,3.07,3.87,0,11.01,0,1.48,4.63,0,35.26,0,0,0,0,0
 36-46,0,0,0,0,0.63,0,1.14,0,0,0.56,0,0,0,1.45,1.16,0,0,5.11,0,19.95,0,1.44,2.79,0,43.38,0,0,0.72,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.38,7.65,0,0,1.83,0.95,9.65,0,9.53,0,8.3,0,0.49,0.48,0,50.17,0,0,1.31,0,0
 60-70,0,0,0,0,3.2,0,1.21,0,0,1.22,3.31,0,0,2.3,0,0,0,10.04,0,6.53,0,0,0,0,33.35,0,0,0,0,0
 72-82,0,0,1.55,0,0,0,0,0.81,2.57,3.58,1.6,0.81,0,5.14,4.37,1.77,1.19,10.1,0,24.8,0,0,9.1,0,42.66,0,0,1.47,9.12,0
 84-94,0,0,1.18,0,13.95,2.26,10.85,1.12,0,8.29,3.29,0,1.77,1.75,1.57,0,0,16.47,0,24.9,0,3.08,4.17,0,82.15,0,1.93,1.58,4.93,0
 96-106,0,0,0,0,11.93,2.08,9.09,1.33,2.42,13.52,0,0,0.6,5.24,1.67,0,1.51,17.15,0,11.24,0,5.27,6.18,0,71.95,0,0,0,5.37,0
108-118,0,0,0,0.49,12.81,2.67,7.34,1.06,4.08,20.3,0,0,1.58,4.81,1.09,1.95,5.2,15.39,1.9,4.69,0,9.36,17.47,0,59.13,0,0,0,6.14,2.68
120,0,0,0,0,16.92,5.18,0,0,0,32.1,0,0,1.5,1.4,0,0,0,2.91,0,5.85,0,5.35,13.83,0,86.9,0,0,0,3.93,0
