stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.81,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.19,0,0,0,9.1,0,0,12.26,0,0,0,0,0,0
 14-21,0,0,0,2.75,23.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,1.22,421.6,0,0,0,0.9,0,0,0.87,0,4.05,0,0,0,0
 24-34,0,0,0,0,0,0,1.34,0,0,0,3.2,0,0,0,0,0,0,0,0,2.3,0,0,0,870.79,0.69,0,47.15,0,0,0.83,0.6,0.74,137.85,0,2.46,0,0
 36-46,0,0,0,0,1.1,0,40.07,0,0,0.6,4.23,0,0,0,0,0,0,0,0,11.62,0,1.13,0.9,2357.36,0.68,0,66.88,0,0,2.35,0,0,390.29,0,0,0,0
 48-58,0,0,0,6.15,4.13,0,429.05,0,0,0.99,50.36,0,0,0,3.2,0,7.73,0,0,43.72,0,0.49,3.15,3828.81,0,1.72,89.16,3.66,0,7.12,0.42,0,242.87,0,0,0,10.02
 60-70,0,0,0,4.18,0.81,0,5153.77,0,1.4,1.38,14.9,0,0,2.95,0,0,0,0,0,40.18,0,1.12,1.18,2693.98,0,0,29.11,0,1.22,12.67,0,0,88.03,0,0,0,9.9
 72-82,0,0.69,0,31.3,1.44,0,10235.24,0,0,2.04,86.36,0.66,0,0,0,1.07,0,0.57,0,40.62,0,3.55,5.17,1628.81,0.85,0,75.61,0,0,6.46,3.18,0,33.29,4.72,0,1.43,26.88
 84-94,0,0,0,47.93,2.48,0,4983.09,0,11.71,33.81,109.92,4.89,0.91,0,3.92,1.75,0.62,0,0,23.97,0.86,17.2,1.56,1213.24,0,0,196.73,0,0,6.66,0,0,23.28,4.91,0.57,12.56,0
 96-106,0,0.91,0,33.2,5.9,1.66,4826.56,0,4.68,0,37.31,1.59,0,1.04,1.38,0,0,0,1.78,30.87,0,2.71,2.25,763.61,0,0.57,126.96,0,2.56,22.77,0,0,4.29,0.75,3.75,0.82,0.75
108-118,0,0,0.74,3.14,3.97,0.42,3694.85,0,0,1.27,46.19,0.87,0,0,0.82,1,0,0,6.34,41.49,1.25,3.74,3.38,972.15,0,2.78,81.93,0,0,3.96,0,0,13.14,0,0,2.32,3.42
120,0,0,0,26.87,1.07,0,2413.17,1.99,0,14.81,142.86,0,0,0,5.05,0,1.01,0,0,29.5,2.91,0,27.02,1838.43,2.33,11.59,156.69,0,0,2.62,0,0,0,0,12.85,0,0
