stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.87,3.36,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,5.14,0,0,39.6,11.1,2.64,0,0,0,0,0,3.8,0,2767.52,24.09,2.98,0,0,3.49,0
 24-34,0,0,2.28,0,0,1.73,96.98,0,1.36,0,0,0,0,0.72,0,0,0,0.64,4.76,0,0,41.45,88.4,0.64,0,0.62,0,0,1.63,0,0,1674.34,48.98,16.51,0,0,0.94,0
 36-46,0,0,0,0,0,5.07,103.73,0,4.86,0,0,0.88,0,0,0,0,1.24,0,2.16,0,0,35.01,70.39,27.05,0,0,0,0,12.32,0,0,643.77,4.31,1.34,0,0,1.06,6.2
 48-58,0,0,0.69,0,0,11.74,82.26,0,0.85,0,0,0.5,0,0.58,0,0,0,0,3.78,3.37,0,6.12,45.75,30.65,0,0.53,0,0,0.81,0,13.69,224.93,0,3.43,0,0,0,0
 60-70,0,0,11.81,0,0,4.26,87.66,6.47,11.06,1.27,0,1.4,7.35,5.55,0,0,0,0,2.15,0,0,7.86,8.51,73.27,0,0,4.86,0,0.6,0,0,112.17,0,0,0,0,0,0
 72-82,0,0,2.18,1.09,0,23.74,111.32,0,0.74,0,0,0,0,5.92,0,0,1.65,0,6.48,0,1.08,9.56,30.1,0,0,1.32,0,0,1.7,0,0,51.21,0,10.31,2.32,0,0,0
 84-94,0,0,0.9,0,0,13.91,200.94,0,2.37,0.76,0.71,0,0,9.43,0,0.86,0,11.49,7.85,0,0,19.54,17.12,0,0,0,0,0,1.56,0,0,97.32,0,4.96,0,0,0,0
 96-106,0,1.08,8.52,14.98,0,70.52,544.28,1.49,9.65,1.59,0,22.24,1.93,57.03,0,0,3.09,0,40.47,1.29,2.51,28.14,96.02,14.45,0.59,0.81,2.41,0,15.65,0,0,179.29,0,8.74,0,4.02,8.64,0
108-118,0,0.97,3.79,7.87,0.95,42.12,499.79,0,10.89,0,0,11.28,0,10.6,0.84,0.74,7.53,6.58,26.8,6.69,3.97,64.58,79.5,55.31,0,2.75,0,0.76,3.1,0,0,141.36,0,3.32,0,3.49,0,3.1
120,0,0,12.03,0,0,8.4,423.02,0,7.65,0,0,14.11,0,26.98,1.74,0,0,0,9.48,1.56,0,11.93,56.14,0,0,0,0,0,1.65,0,0,59.1,0,0,0,1.95,0,0
