stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.67,138.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,219.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.05,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.2,7.65,0,0,31.99,0,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.94,0,0,0,12.22,0,13.98,0,18.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,16.69,1.5,0,7.66,0,0,0,16.79,0,2.74,0,0,0,0,0,0,4.62,0,0,22.43,411.45,9.14,0,0.84,5.08,7.7,1.58,5.53,0,618.78,232.56,168.17,0,0,0,0,0
 24-34,0,0,0,0,8.63,0,0,26.84,247.63,2.24,0.89,46.39,0,12.7,2.11,0.62,0,3.9,0,4.58,44.13,0,0,104.9,1410.82,1.69,0,1.37,0,17.53,0,0,0,417.31,172.97,240.34,0,0,18.5,0,1.72
 36-46,0,0,0,0,6.31,0,0,34.06,476.94,0,0,180.59,0,0.88,0,0,0,5.12,7.26,0,75.76,0,0,66.86,1260.03,0.85,0,1.82,14.25,9.41,0,0,6.73,283.7,9.35,330.57,0,0,9.96,0,1.97
 48-58,0,0,0,0,3.34,0,0,67.62,253.93,0,0.48,533.7,0,1.26,0,0,0,6.09,0,0,54.11,0,2.54,63.62,669.7,0,0,0.68,0,7.95,0,0,0,95.22,0,387.27,0,0,5.4,0,1.31
 60-70,0,0,0,0,2.15,0,0,44.59,189.55,2.9,3.13,504.87,0,0.61,7.35,0,0,4.99,0,0,32.14,0,0,74.6,268.01,0,1.22,2.45,2.43,2.22,0,0,0,52.61,0,151.06,0,0,1.73,0,6.89
 72-82,0,0,0.58,0,7.19,0,0,49,141.23,0,1.76,549.78,1.75,0,0,0.63,5.22,7.08,0,0,21.47,1.78,3.02,54.19,244.22,0,2.88,13.01,0,6.52,0,0,0,13.48,0,23,4.15,0,0.9,0,0
 84-94,0,0,0,0,5.18,0.89,0,76.9,174.16,0,0.59,382.78,0.76,0,0,0,0,3.62,0,0.95,55.32,0,0,59.43,112.91,2.17,0,8.2,0,1.05,0,0,0,37.24,0,35.9,0,0,0.71,4.38,16.08
 96-106,0,0,0,0,14.32,12.19,0,59.16,228.39,8.48,1.21,438.82,1.19,1.24,2.43,1.06,2.7,1.93,12.66,0,40.78,3.92,0,73.36,159.62,0,1.1,4.63,0,6.46,0,0,0,30.03,0,8.47,0,2.1,3.47,2.07,10.31
108-118,0,0,0.83,0,3.36,0,0.46,29.92,248,0,1.47,400.01,2.27,3.68,0,0,0,4.9,5.03,0,45.5,0,0,98.55,195.6,2.66,1.43,10.22,0,5.12,0,0,1.91,36.08,0,10.76,2.39,0,2.98,0,0
120,0,0,0,0,10.45,0,0,27.33,309.54,0,0,673.24,0,0,0,0,0,0,0,0,64.54,0,0,94.01,254.9,0,12.03,17.35,0,1.07,0,0,10.08,32.24,0,14.8,0,0,0,0,16.56
