stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.02,1.72,0,0,0,0,0,0,0,0,0,0,0.93,0,1.43,4.09,1.57,0,2.2,1,0.85,7.42,0,0,0
 24-34,0,0,1.31,0,0,0,3.8,0,0,4.17,0,0.86,0,0,0,1.64,0,0.98,31.84,1.89,1.55,2.18,0,0,23.21,0,0,0
 36-46,0,0,0,1.61,0,0,13.82,0,0,2.81,0,0,0,1.03,1.49,2.24,0,3.34,91.23,4.53,0,0,1.41,0,23.15,0,0.9,0
 48-58,0,0,0,0,0,0,20.11,0.51,0,9.89,0,0,0,0,0,4.01,0.4,0.38,101.67,2.73,0.74,6.07,0,0,20.08,0,0,0
 60-70,0,0,0,1.82,0,0,26.05,0,0,0.68,0,0,0,0,0,6.07,0,3.13,80.79,2.37,0,0,0,0,4.1,0,0,0
 72-82,0,0,0,0,0,0,29.67,1.61,1.14,5.8,0,0,0,0.63,0,8.2,0,0,115.51,2.33,0,0.59,0,0,5.92,0,0,0
 84-94,0,0,0,0,0,0,25.46,0,0,10.71,0,0,0,1.04,0,9.09,0,0,54.16,8.89,1.32,6.16,1.09,0,7.9,0,0,0
 96-106,0,0,0,5.6,3.17,0,26.65,0,0,2.6,2.77,0,0.93,0,0,6.5,0,1.43,95.58,5.84,0,5.76,0,0,6.3,0,0,0
108-118,0,0.84,0,8.22,0,0.58,18.13,1.76,0,6.52,1.16,0,0,0,0,4.73,0,0,39.7,0,0,0.83,0,0,2.78,3.58,0,1.57
120,0,0,0,4.37,0,0,9.71,0,0,1.08,0,0,0,0,0,3.18,0,0,94.11,0,0,0,0,0,0,0,0,0
