stage,axial,blastomeres,endoderm,epidermis,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,113.87,0,0,0,0,0,0,0,0,34.15,0
  5-6,15.1,230.29,0,0,0,0,0,19.92,0,0,0,0
  7-9,4.9,10.77,3.54,0,0,0,0,49.6,12.03,15.22,0,0
 10-12,0,0,0,0,0,0,0,13.85,9.4,0,0,0
 14-21,0,0,0,0,0,0,3.28,5.48,59.14,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.96,0,0,1.44
 36-46,0,0,0,0,0,0,0,0,2.55,0,0,0
 48-58,0,0,0,5.77,0.79,0,0,0,2.77,0,0,0
 60-70,0,0,0,0,0.67,0,0,0,9.65,0,0,0
 84-94,0,0,0,0.59,0,0.86,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.76,0,0,0
108-118,0,0,0,0,0,0,0,0,8.27,0,0,0
120,0,0,0,6.06,8.95,0,0,0,0,0,0,0
