stage,epidermis,eye,mesenchyme,mural.cell,muscle,neural,somites
 24-34,0,2.77,0.68,0,0,0,1.17
 36-46,0,1.47,0,0,0,0,0
 48-58,0,0,0,0,1.38,0,0
 60-70,10.85,0,0,0,0,0,0
 72-82,0,0,0.82,0.49,0,0,0
108-118,2.59,5.36,0,0,0,2.45,0
