stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,11.67,296.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3098.45,0,0,0,0,0,0,0,0
  5-6,18.13,388.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,0,0,0,0,5164.82,0,0,0,0,0,0,0,0
  7-9,8.98,7.75,26.27,0,0,97.35,0,0,0,17.62,0,0,0,0,0,0,0,0,0,466.89,3.43,0,0,169.36,554.84,0,0,0,0,0,0,0,0
 10-12,0,56.96,6.87,0,5.97,44.43,0,0,0,21.19,0,0,0,0,0,0,0,0,0,768.6,11.55,0,0,191.19,117.46,10.74,5.64,0,0,0,0,0,0
 14-21,0,0,0,27.08,2.49,1.79,0,0,0,0,0,0,0.87,0,0,1.03,4.83,0,1.94,18.24,0,0,0,0,1047.13,0,0,0,1.04,2.62,0,0,0
 24-34,0,0,0,8.71,0,6.24,0,1.05,0,0,0,0,3.97,0,3.37,7.22,6.1,0,0.7,39.44,0.7,16,4.11,0,958.66,0,0,0,0.61,3.68,0,0,0
 36-46,0,0,0,5.86,0,12.23,1.92,0,0,0,0,0,5.95,0,1.19,0.65,9.55,0,0.58,60.88,0,0.63,0.78,0,904.08,0,0,0,0,1.99,0,0,0
 48-58,0,0,0,27.92,0,13.65,3.68,1.38,0.66,1.19,0,0,0,0,1.48,7.97,0.44,0,0.4,29.94,0,0.76,0,0,415.82,0,0,0,0,11.69,0,0.79,6.16
 60-70,0,0,0,61.26,0,33.42,0,1.72,0,1.71,0,0,0,0,2.86,3.36,0.61,0,0,18.04,0,0,0,0,329.98,0,0,0,0,1.79,3.81,0,0
 72-82,0,0,0,67.78,0.97,8.8,0,1.24,0.5,0,0,0,2.7,0,6.59,1.08,0,0.67,0,34.85,0.72,0,0,0,193.26,0,0,0,0,3.97,0,0,0
 84-94,0,0,0,95.76,0.55,9.55,7.51,5,1.56,0,0,0,2.13,0,6.57,0,2.97,0,0.63,53.38,0,3,0,0,523.96,0,0,0,0,0,3.51,1.59,0
 96-106,0,0,0,91.61,0,19.5,3.7,0.57,8.09,0,0,0.74,0,0,13.08,6.18,3.14,0,0,13.86,0,2.35,0,0,265.86,0,0,0,0,0,0,0,0
108-118,0,0,0,103.7,0,3.07,2.44,1.62,3.66,0,0,0,0.92,0.83,1.67,14.69,5.42,0,2.54,12.69,0,4.62,0,0,195.81,0,0.54,0.68,0,0,2.18,2.03,0
120,0,0,0,41.45,6.23,0,1.05,0,3.03,0,1.54,0,0,0,1.11,4.34,1.31,0,1.2,32.92,0,0,0,0,90.65,0,0,0,0,0,0,0,0
