stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.04,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,4.07,0,0,24.35,0,0,0
 14-21,0,1.09,4.75,1.13,0,0,0,0,0,0,0,0,1.3,0,0,0,9.52,0,0,0,0,0,0,0,30.94,0,0,0
 24-34,0,1.52,5.52,0.74,0,0,0,0,0,0,6.93,0,0,0,0,0,9.17,0,0,0,0,13.15,0,2.61,20.81,1.61,0,0
 36-46,0,1.94,3.68,0,0,0,0,0,0,0.75,11.13,0,0,0,0,0,12.51,0.9,0,0,1.37,5.71,0,1.49,78.2,1.73,0,0
 48-58,0,0.39,0.4,0,0,0,0,0,0.45,0,14.63,0,0,0,0,0,17.73,0,0,0,0,10.02,0,0,12.4,1.53,0,0
 60-70,0,1.61,0,2.17,0,0,17.55,0,0,0,29.52,0,0,0,0,0,19.6,1.65,0,0,0,9.92,0,3.05,17.95,2.63,0,0.79
 72-82,0,0.68,0,0,0,0,19.37,2.2,0,3.27,46.81,0,0,0,0,0,18.88,4.03,0.93,0,0,17.87,0,0,44.64,0,0,0
 84-94,0,3.39,0.57,0,0,0.86,47.68,0,0,0,56.34,0,0,1.14,0,0,50.33,0,0,0,0,18.7,0,0,56.2,0,1.5,0
 96-106,0,5.55,0,0,0,0.69,78.51,0,2.83,1.01,61.86,0,0,0,0,0,39.07,4.09,0,0,0,44.25,0,1.59,54.62,1.85,0,0
108-118,0,3.07,1.06,1.15,1.03,4.14,43.09,0,0,0,53.06,0,0,0.87,0.43,0,45.71,6.39,0,0,0,32.4,0,0,57.99,0,0.94,0
120,0,0,3.17,4.18,0,1.61,34.42,0,1.67,0,92.73,0,0,5.31,0,1.84,104.72,11.26,0,2.22,0,58.05,3.63,18.33,60.51,0,0,0
