stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,14.52,136.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.18,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,17.63,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.79,0,0,0,29.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.91,0,0,0,18.01,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.92,0,0,62.82,0,0,0,0,0,0,0,0,0,0,0,0,29.75,1.34,0,0,0,6.85,3.76,0,0,0,0,0,0,0,0.81,0.84,0,0,0,0
 24-34,0,0,0,0,2.61,0,0,505.63,0,0.9,0,1.12,1.74,0,0,0,0,0.89,0,1.41,666.37,2.49,0,0,2.33,45.09,0.83,0,0,0,0,2.27,0,0,0,19.2,0,0.68,0,0
 36-46,0,0,0,0,6.12,0.71,0,550.37,0,0,0,0,0,0,0,10.59,0,1.04,0,7.26,1506.88,4.59,0,1.97,3.45,66.59,0,0,0,0,0,0,0.68,0,0,5.53,0,11.59,0,0
 48-58,0,0,0,0,1.84,4.44,0,631.88,0,0.45,0,0,0,0,0,0,0,26,0,0,1524.7,18.31,0,0,4.52,114.51,0,0,0.42,0,0,10.72,0,0,0.46,16.83,0,1.91,0,7.31
 60-70,0,0,0,0,2.24,0,0,764.15,0.99,0.82,0,4.76,0.62,0,0,0,0,1.09,0,0,792.83,41.4,0,0,5.17,85.21,0,0,0,0,0.63,3.6,0,0,0,9.18,0,3.69,0,0
 72-82,0,0,1.25,0,1.62,15.42,0,680.18,0,0,0.89,5.05,1.04,0,6.32,0.98,0,7.93,0,7.4,811.24,41.11,0,1.81,6.66,60.1,0,0,0,0,0,1.37,0,0,0,7.55,0,6.34,0.99,5.49
 84-94,0,0,2.17,0,7.35,10.2,0,1170.15,0,2.91,2.93,0.76,0.68,0,0,1.04,0.82,2.39,0,0,1497.84,75.41,0.86,0,1.51,83.86,0,0,0,0,0,10.27,0,0,0.79,8.46,0,12.46,0,2.99
 96-106,0,0,0,0,2.71,3.23,3.42,976.89,0,0,0,2.5,3.41,0,0,2.02,0,6.41,1.68,12.18,648.09,36.42,0,0,1.56,85.01,0,0.68,0,0,0,5.86,0,0,0,6.89,0,7.18,0,0
108-118,0,0,0,0,3.09,2.17,15.39,1089.75,0,0.58,0.75,14.81,1.03,0,1.62,0,0,12.06,0,0,1027.54,32.15,2.55,0.75,3.86,77.05,0,0,0,0,0,0,0,0.59,0,2.77,2.29,1.19,0,11.77
120,0,0,0,0,1.57,0,0,538.35,0,0,0,0,9.32,0,0,5.46,0,0,9.45,5.66,416.57,11.54,0,0,0,113.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
