stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.34,1059.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0
  5-6,14.92,856.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,27.79,0,17.14,0,0,0,0,0,0,0,0,0
  7-9,3.48,34.28,69.33,0,0,0,38.37,0,0,0,0,0,47.8,0,0,0,0,0,0,0,0,0,0,745.46,17.95,0,0,461.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,51.58,14,0,18.69,0,75.47,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,942.68,23.18,0,0,450.15,0,0,0,20.35,5.41,13.32,0,0,0,0,0
 14-21,0,0,2.13,54,5.99,0,42.95,0,0,0,23.51,0,0,0,0,4.93,0,0,0,34.17,0,0,17.54,969.14,2.22,8.48,11.79,23,0,105.97,18.11,4.27,29.18,254.89,0,0,4.42,0,0
 24-34,0,0,3.4,20.78,5.81,0,250.31,0,1.86,0,36.37,0,3.85,2.46,1.94,0.65,0,2.65,5.13,84.8,0,1.7,33.82,1670.03,3.23,16.96,5.41,0,0,78.49,0,0,0,322.34,0,0,6.7,0,3.72
 36-46,0,0,0,14.9,4.62,0,769.19,0,4,0.75,34.15,1.45,0,0.82,1.58,0.63,0,1.35,1.87,111.16,0,1.66,25.25,1373.97,0.87,15.76,9.87,0,0,29.81,0,1.36,0,254.49,0,0,13.5,0,2.51
 48-58,0,0,0,14.32,0,0,1049.03,0,0,0.46,63.05,1.07,0,2.16,12.02,11.39,0,4.81,1.44,115.71,0,7.44,23.1,937.78,0.66,4.44,8.45,0,0,18.36,0,0,0,91.58,0,0,10.12,0,2.68
 60-70,0,0,0,28.16,0.65,0,756.17,0,0,3.83,94.17,4.87,0,0.66,5.27,6.61,0,5.11,0,89.39,0,8.8,18.45,572.67,0,2.17,3.97,0,0.71,18.57,0,4.44,0,45.82,0,0,26.57,0,5.9
 72-82,0,0,0,20.36,1.54,0,256.56,0.88,0.68,3.74,78.21,2.18,0,2.61,0.69,12.83,0,3.22,0.79,83.28,0.92,4.09,21.78,429.29,1.43,7.47,11.5,0,0,5.55,0,1.63,0,24.66,3.35,0,20.1,0,0
 84-94,0,0,0,31.67,2.8,0,236.93,0,0,0,49.29,9.07,0,0,5.73,3.33,0,2.96,2.97,73.07,0.78,8.32,8.36,311.56,0.94,11.06,3.25,0,0.57,18.68,0,0.74,0,5.2,3.1,0,27.84,0,0
 96-106,0,0,0.65,45.99,1.72,0,177.7,0,0,0,69.93,9.19,0,0,10.58,2.73,0,8.16,1.19,43.84,0,3.68,5.79,302.21,0.7,5.18,0.63,0,0,19.73,0,3.5,0,6.64,1.79,0,13.96,2.83,0
108-118,0,0,0,32.87,2.35,3.28,193.47,0,0.43,3.65,74.91,14.75,0,0.44,17.14,1.97,1.42,4.58,5.59,58.17,0,3.68,17.6,446.69,0,7.65,10.49,0,0,13.43,0,0.87,0,17.6,10.05,0,9.29,1.69,0
120,0,0,0,9.74,5.36,0,221.23,0,0,1.04,85.11,1.92,0,1.15,18.12,0,2.77,1.13,9.58,27.73,0,0,12.12,334.25,2.45,1.47,5.44,0,4.59,9.9,0,0,0,2.54,0,9.46,23.17,0,0
